ID	LABEL	Type
ID	A rdfs:label	TYPE
ex:ADAS	Alzheimer’s_Disease_Assessment_Scale
ex:MMSE_OrientationItem_V_9	MMSE_Orientation_Item_V_9
ex:MMSE_RecallItem_1	MMSE_Recall_Item_1
ex:MMSE_RecallItem_2	MMSE_Recall_Item_2
ex:MMSE_RecallItem_3	MMSE_Recall_Item_3
ex:MMSE_RegistrationItem_1	MMSE_Registration_Item_1
ex:MMSE_RegistrationItem_2	MMSE_Registration_Item_2
ex:MMSE_RegistrationItem_3	MMSE_Registration_Item_3
ex:MMSE_RegistrationItem_4	MMSE_Registration_Item_4
ex:MemoryItem	Memory_Item
ex:MoCA	Montreal_Cognitive_Assessment
ex:NB_AmericanNationalAdultReadingTestItem_1	NB_American_National_Adult_Reading_Test_Item_1
ex:NB_AmericanNationalAdultReadingTestItem_2	NB_American_National_Adult_Reading_Test_Item_2
ex:NB_BostonNamingTestItem_1	NB_Boston_Naming_Test_Item_1
ex:NB_BostonNamingTestItem_2	NB_Boston_Naming_Test_Item_2
ex:NB_BostonNamingTestItem_3	NB_Boston_Naming_Test_Item_3
ex:NB_BostonNamingTestItem_4	NB_Boston_Naming_Test_Item_4
ex:NB_BostonNamingTestItem_5	NB_Boston_Naming_Test_Item_5
ex:NB_BostonNamingTestItem_6	NB_Boston_Naming_Test_Item_6
ex:NB_CategoryFluencyTestItem_1	NB_Category_Fluency_Test_Item_1
ex:NB_CategoryFluencyTestItem_2	NB_Category_Fluency_Test_Item_2
ex:NB_CategoryFluencyTestItem_3	NB_Category_Fluency_Test_Item_3
ex:NB_CategoryFluencyTestVegetablesItem_1	NB_Category_Fluency_Test_Vegetables_Item_1
ex:NB_CategoryFluencyTestVegetablesItem_2	NB_Category_Fluency_Test_Vegetables_Item_2
ex:NB_CategoryFluencyTestVegetablesItem_3	NB_Category_Fluency_Test_Vegetables_Item_3
ex:NB_ClockCopyingItem_1	NB_Clock_Copying_Item_1
ex:NB_ClockCopyingItem_2	NB_Clock_Copying_Item_2
ex:NB_ClockCopyingItem_3	NB_Clock_Copying_Item_3
ex:NB_ClockCopyingItem_4	NB_Clock_Copying_Item_4
ex:NB_ClockCopyingItem_5	NB_Clock_Copying_Item_5
ex:NB_ClockCopyingItem_6	NB_Clock_Copying_Item_6
ex:NB_ClockDrawingTestItem_1	NB_Clock_Drawing_Test_Item_1
ex:NB_ClockDrawingTestItem_2	NB_Clock_Drawing_Test_Item_2
ex:NB_ClockDrawingTestItem_3	NB_Clock_Drawing_Test_Item_3
ex:NB_ClockDrawingTestItem_4	NB_Clock_Drawing_Test_Item_4
ex:NB_ClockDrawingTestItem_5	NB_Clock_Drawing_Test_Item_5
ex:NB_ClockDrawingTestItem_6	NB_Clock_Drawing_Test_Item_6
ex:NB_DigitSpanBackwardItem_1	NB_Digit_Span_Backward_Item_1
ex:NB_DigitSpanBackwardItem_2	NB_Digit_Span_Backward_Item_2
ex:NB_DigitSpanForwardItem_1	NB_Digit_Span_Forward_Item_1
ex:NB_DigitSpanForwardItem_2	NB_Digit_Span_Forward_Item_2
ex:NB_DigitSymbolSubstitutionItem_1	NB_Digit_Symbol_Substitution_Item_1
ex:NB_LogicalMemoryTestItem_1	NB_Logical_Memory_Test_Item_1
ex:NB_LogicalMemoryTestItem_2	NB_Logical_Memory_Test_Item_2
ex:NB_LogicalMemoryTestItem_3	NB_Logical_Memory_Test_Item_3
ex:NB_LogicalMemoryTestItem_4	NB_Logical_Memory_Test_Item_4
ex:NB_LogicalMemoryTestItem_5	NB_Logical_Memory_Test_Item_5
ex:NB_LogicalMemoryTestItem_6	NB_Logical_Memory_Test_Item_6
ex:NB_MultilingualNamingTestItem_1	NB_Multilingual_Naming_Test_Item_1
ex:NB_MultilingualNamingTestItem_2	NB_Multilingual_Naming_Test_Item_2
ex:NB_MultilingualNamingTestItem_3	NB_Multilingual_Naming_Test_Item_3
ex:NB_ReyAuditoryLearningTestItem_1	NB_Rey_Auditory_Learning_Test_Item_1
ex:NB_ReyAuditoryLearningTestItem_2	NB_Rey_Auditory_Learning_Test_Item_2
ex:NB_ReyAuditoryLearningTestItem_3	NB_Rey_Auditory_Learning_Test_Item_3
ex:NB_ReyAuditoryLearningTestItem_4	NB_Rey_Auditory_Learning_Test_Item_4
ex:NB_ReyAuditoryVerbalLearningTestItem_1	NB_Rey_Auditory_Verbal_Learning_Test_Item_1
ex:NB_ReyAuditoryVerbalLearningTestItem_10	NB_Rey_Auditory_Verbal_Learning_Test_Item_10
ex:NB_ReyAuditoryVerbalLearningTestItem_11	NB_Rey_Auditory_Verbal_Learning_Test_Item_11
ex:NB_ReyAuditoryVerbalLearningTestItem_12	NB_Rey_Auditory_Verbal_Learning_Test_Item_12
ex:NB_ReyAuditoryVerbalLearningTestItem_13	NB_Rey_Auditory_Verbal_Learning_Test_Item_13
ex:NB_ReyAuditoryVerbalLearningTestItem_14	NB_Rey_Auditory_Verbal_Learning_Test_Item_14
ex:NB_ReyAuditoryVerbalLearningTestItem_15	NB_Rey_Auditory_Verbal_Learning_Test_Item_15
ex:NB_ReyAuditoryVerbalLearningTestItem_16	NB_Rey_Auditory_Verbal_Learning_Test_Item_16
ex:NB_ReyAuditoryVerbalLearningTestItem_17	NB_Rey_Auditory_Verbal_Learning_Test_Item_17
ex:NB_ReyAuditoryVerbalLearningTestItem_18	NB_Rey_Auditory_Verbal_Learning_Test_Item_18
ex:NB_ReyAuditoryVerbalLearningTestItem_19	NB_Rey_Auditory_Verbal_Learning_Test_Item_19
ex:NB_ReyAuditoryVerbalLearningTestItem_2	NB_Rey_Auditory_Verbal_Learning_Test_Item_2
ex:NB_ReyAuditoryVerbalLearningTestItem_3	NB_Rey_Auditory_Verbal_Learning_Test_Item_3
ex:NB_ReyAuditoryVerbalLearningTestItem_4	NB_Rey_Auditory_Verbal_Learning_Test_Item_4
ex:NB_ReyAuditoryVerbalLearningTestItem_5	NB_Rey_Auditory_Verbal_Learning_Test_Item_5
ex:NB_ReyAuditoryVerbalLearningTestItem_6	NB_Rey_Auditory_Verbal_Learning_Test_Item_6
ex:NB_ReyAuditoryVerbalLearningTestItem_7	NB_Rey_Auditory_Verbal_Learning_Test_Item_7
ex:NB_ReyAuditoryVerbalLearningTestItem_8	NB_Rey_Auditory_Verbal_Learning_Test_Item_8
ex:NB_ReyAuditoryVerbalLearningTestItem_9	NB_Rey_Auditory_Verbal_Learning_Test_Item_9
ex:NB_TrailMakingTestAItem_1	NB_Trail_Making_Test_Item_1
ex:NB_TrailMakingTestAItem_2	NB_Trail_Making_Test_Item_2
ex:NB_TrailMakingTestAItem_3	NB_Trail_Making_Test_Item_3
ex:NB_TrailMakingTestBItem_1	NB_Trail_Making_Test_Item_1
ex:NB_TrailMakingTestBItem_2	NB_Trail_Making_Test_Item_2
ex:NB_TrailMakingTestBItem_3	NB_Trail_Making_Test_Item_3
ex:NPI	Neuropsychiatric_Inventory
ex:NPI-Q	Neuropsychiatric_Inventory–questionnaire
ex:NPIItem	NPI_Item
ex:NPIQItem	NPIQ_Item
ex:NPIQ_PresenceOfAberrantMotorBehaviorItem	NPIQ_Presence_of_Aberrant_Motor_Behavior_Item
ex:NPIQ_PresenceOfAgitationAggressionItem	NPIQ_Presence_of_Agitation_Aggression_Item
ex:NPIQ_PresenceOfAnxietyItem	NPIQ_Presence_of_Anxiety_Item
ex:NPIQ_PresenceOfApathyIndifferenceItem	NPIQ_Presence_of_Apathy_Indifference_Item
ex:NPIQ_PresenceOfAppetiteDisordersItem	NPIQ_Presence_of_Appetite_Disorders_Item
ex:NPIQ_PresenceOfDelusionsItem	NPIQ_Presence_of_Delusions_Item
ex:NPIQ_PresenceOfDepressionDysphoriaItem	NPIQ_Presence_of_Depression_Dysphoria_Item
ex:NPIQ_PresenceOfDishinibitionItem	NPIQ_Presence_of_Dishinibition_Item
ex:NPIQ_PresenceOfElationEuphoriaItem	NPIQ_Presence_of_Elation_Euphoria_Item
ex:NPIQ_PresenceOfHallucinationsItem	NPIQ_Presence_of_Hallucinations_Item
ex:NPIQ_PresenceOfIrritabilityLabilityItem	NPIQ_Presence_of_Irritability_Lability_Item
ex:NPIQ_PresenceOfSleepDisordersItem	NPIQ_Presence_of_Sleep_Disorders_Item
ex:NPIQ_SeverityOfSymptomItem	NPIQ_Severity_of_Symptom_Item
ex:NPI_AberrantMotorBehaviourQuestionItem_1	NPI_Aberrant_Motor_Behaviour_Question_Item_1
ex:NPI_AberrantMotorBehaviourQuestionItem_10	NPI_Aberrant_Motor_Behaviour_Question_Item_10
ex:NPI_AberrantMotorBehaviourQuestionItem_2	NPI_Aberrant_Motor_Behaviour_Question_Item_2
ex:NPI_AberrantMotorBehaviourQuestionItem_3	NPI_Aberrant_Motor_Behaviour_Question_Item_3
ex:NPI_AberrantMotorBehaviourQuestionItem_4	NPI_Aberrant_Motor_Behaviour_Question_Item_4
ex:NPI_AberrantMotorBehaviourQuestionItem_5	NPI_Aberrant_Motor_Behaviour_Question_Item_5
ex:NPI_AberrantMotorBehaviourQuestionItem_6	NPI_Aberrant_Motor_Behaviour_Question_Item_6
ex:NPI_AberrantMotorBehaviourQuestionItem_7	NPI_Aberrant_Motor_Behaviour_Question_Item_7
ex:NPI_AberrantMotorBehaviourQuestionItem_8	NPI_Aberrant_Motor_Behaviour_Question_Item_8
ex:NPI_AberrantMotorBehaviourQuestionItem_9	NPI_Aberrant_Motor_Behaviour_Question_Item_9
ex:NPI_AgitationAggressionCaregiverDistress	NPI_Agitation_Aggression_Caregiver_Distress
ex:NPI_AgitationAggressionFrequency	NPI_Agitation_Aggression_Frequency
ex:NPI_AgitationAggressionQuestionItem_1	NPI_Agitation_Aggression_Question_Item_1
ex:NPI_AgitationAggressionQuestionItem_2	NPI_Agitation_Aggression_Question_Item_2
ex:NPI_AgitationAggressionQuestionItem_3	NPI_Agitation_Aggression_Question_Item_3
ex:NPI_AgitationAggressionQuestionItem_4	NPI_Agitation_Aggression_Question_Item_4
ex:NPI_AgitationAggressionQuestionItem_5	NPI_Agitation_Aggression_Question_Item_5
ex:NPI_AgitationAggressionQuestionItem_6	NPI_Agitation_Aggression_Question_Item_6
ex:NPI_AgitationAggressionQuestionItem_7	NPI_Agitation_Aggression_Question_Item_7
ex:NPI_AgitationAggressionQuestionItem_8	NPI_Agitation_Aggression_Question_Item_8
ex:NPI_AgitationAggressionSeverity	NPI_Agitation_Aggression_Severity
ex:NPI_AnxietyDistressItem	NPI_Anxiety_Distress_Item
ex:NPI_AnxietyFrequencyItem	NPI_Anxiety_Frequency_Item
ex:NPI_AnxietyQuestionItem_1	NPI_Anxiety_Question_Item_1
ex:NPI_AnxietyQuestionItem_2	NPI_Anxiety_Question_Item_2
ex:NPI_AnxietyQuestionItem_3	NPI_Anxiety_Question_Item_3
ex:NPI_AnxietyQuestionItem_4	NPI_Anxiety_Question_Item_4
ex:NPI_AnxietyQuestionItem_5	NPI_Anxiety_Question_Item_5
ex:NPI_AnxietyQuestionItem_6	NPI_Anxiety_Question_Item_6
ex:NPI_AnxietyQuestionItem_7	NPI_Anxiety_Question_Item_7
ex:NPI_AnxietySeverityItem	NPI_Anxiety_Severity_Item
ex:NPI_ApathyIndifferenceQuestionItem_1	NPI_Apathy_Indifference_Question_Item_1
ex:NPI_ApathyIndifferenceQuestionItem_2	NPI_Apathy_Indifference_Question_Item_2
ex:NPI_ApathyIndifferenceQuestionItem_3	NPI_Apathy_Indifference_Question_Item_3
ex:NPI_ApathyIndifferenceQuestionItem_4	NPI_Apathy_Indifference_Question_Item_4
ex:NPI_ApathyIndifferenceQuestionItem_5	NPI_Apathy_Indifference_Question_Item_5
ex:NPI_ApathyIndifferenceQuestionItem_6	NPI_Apathy_Indifference_Question_Item_6
ex:NPI_ApathyIndifferenceQuestionItem_7	NPI_Apathy_Indifference_Question_Item_7
ex:NPI_ApathyIndifferenceQuestionItem_8	NPI_Apathy_Indifference_Question_Item_8
ex:NPI_DelusionsCaregiverDistressItem	NPI_Delusions_Caregiver_Distress_Item
ex:NPI_DelusionsFrequencyItem	NPI_Delusions_Frequency_Item
ex:NPI_DelusionsQuestionItem_1	NPI_Delusions_Question_Item_1
ex:NPI_DelusionsQuestionItem_2	NPI_Delusions_Question_Item_2
ex:NPI_DelusionsQuestionItem_3	NPI_Delusions_Question_Item_3
ex:NPI_DelusionsQuestionItem_4	NPI_Delusions_Question_Item_4
ex:NPI_DelusionsQuestionItem_5	NPI_Delusions_Question_Item_5
ex:NPI_DelusionsQuestionItem_6	NPI_Delusions_Question_Item_6
ex:NPI_DelusionsQuestionItem_7	NPI_Delusions_Question_Item_7
ex:NPI_DelusionsQuestionItem_8	NPI_Delusions_Question_Item_8
ex:NPI_DelusionsQuestionItem_9	NPI_Delusions_Question_Item_9
ex:NPI_DelusionsSeverityItem	NPI_Delusions_Severity_Item
ex:NPI_DepressionDysphoriaDistressItem	NPI_Depression_Dysphoria_Distress_Item
ex:NPI_DepressionDysphoriaFrequencyItem	NPI_Depression_Dysphoria_Frequency_Item
ex:NPI_DepressionDysphoriaQuestionItem_1	NPI_Depression_Dysphoria_Question_Item_1
ex:NPI_DepressionDysphoriaQuestionItem_2	NPI_Depression_Dysphoria_Question_Item_2
ex:NPI_DepressionDysphoriaQuestionItem_3	NPI_Depression_Dysphoria_Question_Item_3
ex:NPI_DepressionDysphoriaQuestionItem_4	NPI_Depression_Dysphoria_Question_Item_4
ex:NPI_DepressionDysphoriaQuestionItem_5	NPI_Depression_Dysphoria_Question_Item_5
ex:NPI_DepressionDysphoriaQuestionItem_6	NPI_Depression_Dysphoria_Question_Item_6
ex:NPI_DepressionDysphoriaQuestionItem_7	NPI_Depression_Dysphoria_Question_Item_7
ex:NPI_DepressionDysphoriaQuestionItem_8	NPI_Depression_Dysphoria_Question_Item_8
ex:NPI_DepressionDysphoriaSeverityItem	NPI_Depression_Dysphoria_Severity_Item
ex:NPI_DisinhibitionDistressItem	NPI_Disinhibition_Distress_Item
ex:NPI_DisinhibitionFrequencyItem	NPI_Disinhibition_Frequency_Item
ex:NPI_DisinhibitionQuestionItem_1	NPI_Disinhibition_Question_Item_1
ex:NPI_DisinhibitionQuestionItem_2	NPI_Disinhibition_Question_Item_2
ex:NPI_DisinhibitionQuestionItem_3	NPI_Disinhibition_Question_Item_3
ex:NPI_DisinhibitionQuestionItem_4	NPI_Disinhibition_Question_Item_4
ex:NPI_DisinhibitionQuestionItem_5	NPI_Disinhibition_Question_Item_5
ex:NPI_DisinhibitionQuestionItem_6	NPI_Disinhibition_Question_Item_6
ex:NPI_DisinhibitionQuestionItem_7	NPI_Disinhibition_Question_Item_7
ex:NPI_DisinhibitionSeverityItem	NPI_Disinhibition_Severity_Item
ex:NPI_EatingDisordersDistressItem	NPI_Eating_Disorders_Distress_Item
ex:NPI_EatingDisordersFrequencyItem	NPI_Eating_Disorders_Frequency_Item
ex:NPI_EatingDisordersQuestionItem_1	NPI_Eating_Disorders_Question_Item_1
ex:NPI_EatingDisordersQuestionItem_2	NPI_Eating_Disorders_Question_Item_2
ex:NPI_EatingDisordersQuestionItem_3	NPI_Eating_Disorders_Question_Item_3
ex:NPI_EatingDisordersQuestionItem_4	NPI_Eating_Disorders_Question_Item_4
ex:NPI_EatingDisordersQuestionItem_5	NPI_Eating_Disorders_Question_Item_5
ex:NPI_EatingDisordersQuestionItem_6	NPI_Eating_Disorders_Question_Item_6
ex:NPI_EatingDisordersQuestionItem_7	NPI_Eating_Disorders_Question_Item_7
ex:NPI_EatingDisordersQuestionItem_8	NPI_Eating_Disorders_Question_Item_8
ex:NPI_EatingDisordersSeverityItem	NPI_Eating_Disorders_Severity_Item
ex:NPI_ElationEuphoriaDistressItem	NPI_Elation_Euphoria_Distress_Item
ex:NPI_ElationEuphoriaQuestionItem_1	NPI_Elation_Euphoria_Question_Item_1
ex:NPI_ElationEuphoriaQuestionItem_2	NPI_Elation_Euphoria_Question_Item_2
ex:NPI_ElationEuphoriaQuestionItem_3	NPI_Elation_Euphoria_Question_Item_3
ex:NPI_ElationEuphoriaQuestionItem_4	NPI_Elation_Euphoria_Question_Item_4
ex:NPI_ElationEuphoriaQuestionItem_5	NPI_Elation_Euphoria_Question_Item_5
ex:NPI_ElationEuphoriaQuestionItem_6	NPI_Elation_Euphoria_Question_Item_6
ex:NPI_ElationEuphoriaQuestionItem_7	NPI_Elation_Euphoria_Question_Item_7
ex:NPI_HallucinationsCaregiverDistressItem	NPI_Hallucinations_Caregiver_Distress_Item
ex:NPI_HallucinationsFrequencyItem	NPI_Hallucinations_Frequency_Item
ex:NPI_HallucinationsQuestionItem_1	NPI_Hallucinations_Question_Item_1
ex:NPI_HallucinationsQuestionItem_2	NPI_Hallucinations_Question_Item_2
ex:NPI_HallucinationsQuestionItem_3	NPI_Hallucinations_Question_Item_3
ex:NPI_HallucinationsQuestionItem_4	NPI_Hallucinations_Question_Item_4
ex:NPI_HallucinationsQuestionItem_5	NPI_Hallucinations_Question_Item_5
ex:NPI_HallucinationsQuestionItem_6	NPI_Hallucinations_Question_Item_6
ex:NPI_HallucinationsQuestionItem_7	NPI_Hallucinations_Question_Item_7
ex:NPI_HallucinationsSeverityItem	NPI_Hallucinations_Severity_Item
ex:NPI_IrritabilityLabilityDistress	NPI_Irritability_Lability_Distress
ex:NPI_IrritabilityLabilityFrequency	NPI_Irritability_Lability_Frequency
ex:NPI_IrritabilityLabilityQuestionItem_1	NPI_Irritability_Lability_Question_Item_1
ex:NPI_IrritabilityLabilityQuestionItem_2	NPI_Irritability_Lability_Question_Item_2
ex:NPI_IrritabilityLabilityQuestionItem_3	NPI_Irritability_Lability_Question_Item_3
ex:NPI_IrritabilityLabilityQuestionItem_4	NPI_Irritability_Lability_Question_Item_4
ex:NPI_IrritabilityLabilityQuestionItem_5	NPI_Irritability_Lability_Question_Item_5
ex:NPI_IrritabilityLabilityQuestionItem_6	NPI_Irritability_Lability_Question_Item_6
ex:NPI_IrritabilityLabilityQuestionItem_7	NPI_Irritability_Lability_Question_Item_7
ex:NPI_IrritabilityLabilitySeverity	NPI_Irritability_Lability_Severity
ex:NPI_PresenceOfAberrantMotorBehaviourItem	NPI_Presence_of_Aberrant_Motor_Behaviour_Item
ex:NPI_PresenceOfAgitationAggression	NPI_Presence_of_Agitation_Aggression
ex:NPI_PresenceOfAnxietyItem	NPI_Presence_of_Anxiety_Item
ex:NPI_PresenceOfDelusionsItem	NPI_Presence_of_Delusions_Item
ex:NPI_PresenceOfDepressionOrDysphoriaItem	NPI_Presence_of_Depression_or_Dysphoria_Item
ex:NPI_PresenceOfDisinhibitionItem	NPI_Presence_of_Disinhibition_Item
ex:NPI_PresenceOfEatingDisordersItem	NPI_Presence_of_Eating_Disorders_Item
ex:NPI_PresenceOfElationEuphoriaItem	NPI_Presence_of_Elation_Euphoria_Item
ex:NPI_PresenceOfHallucinationsItem	NPI_Presence_of_Hallucinations_Item
ex:NPI_PresenceOfIrritabilityLabilityItem	NPI_Presence_of_Irritability_Lability_Item
ex:NPI_SleepDistressItem	NPI_Sleep_Distress_Item
ex:NPI_SleepQuestionItem_1	NPI_Sleep_Question_Item_1
ex:NPI_SleepQuestionItem_2	NPI_Sleep_Question_Item_2
ex:NPI_SleepQuestionItem_3	NPI_Sleep_Question_Item_3
ex:NPI_SleepQuestionItem_4	NPI_Sleep_Question_Item_4
ex:NPI_SleepQuestionItem_5	NPI_Sleep_Question_Item_5
ex:NPI_SleepQuestionItem_6	NPI_Sleep_Question_Item_6
ex:NPI_SleepQuestionItem_7	NPI_Sleep_Question_Item_7
ex:NPI_SleepQuestionItem_8	NPI_Sleep_Question_Item_8
ex:NPI_SleepSeverityItem	NPI_Sleep_Severity_Item
ex:NPI_SleepTotalItem	NPI_Sleep_Total_Item
ex:NamingItem	Naming_Item
ex:NeurologicalExam	Neurological_Exam
ex:NeuropshychologicalAssessment	Neuropshychological_Assessment
ex:NeuropsychologicalBattery	Neuropsychological_Battery
ex:NeuropsychologicalBatteryItem	Neuropsychological_Battery_Item
ex:OrientationItem	Orientation_Item
ex:PhysicalExam	Physical_Exam
ex:QuestionItem	Question_Item
ex:ReadingItem	Reading_Item
ex:RegistrationItem	Registration_Item
ex:RepetitionItem	Repetition_Item
ex:SAItemByEvaluatedFeature	SA_Item_by_Evaluated_Feature
ex:SAItemByTest	SA_Item_by_Test
ex:ScoringItem	Scoring_Item
ex:Sequencing	Sequencing
ex:SleepItem	Sleep_Item
ex:StandardizedAssessment	Standardized_Assessment
ex:StandardizedAssessmentItem	Standardized_Assessment_Item
ex:TOMM40PolyTVariantGenotyping	Translocase_of_Outer_Mitochondrial_Membrane_40_Poly-T_Variant_Genotyping
ex:VascularRiskAssessment	Vascular_Risk_Assessment
ex:VitalSign	Vital_Sign
ex:WGSSNP	Wide_Genome_Sequencing_Single-Nucleotide_Polymorphism
ex:WGS_Assembly	WGS_Assembly
ex:WritingItem	Writing_Item
