PMID,factor_relevance,entity,category,source_sentence,explanation
40597399,No,cerebral glucose metabolism,AD/ADRD,"After adjusting for age, gender, education, and ApoE ɛ4 status, a significant positive relationship between CSF Aβ42 levels and cerebral glucose metabolism was observed in the MCI and AD groups, but not in the CN group.",Linked to cognitive decline in ADRD as a biomarker.
40518812,No,Alzheimer's disease,AD/ADRD,"Most patients (95.3%) had dementia (68.7% of whom had Alzheimer's disease), and 70.6% were concomitantly treated with anti-dementia drugs.",Specific type of dementia studied in the population.
40518812,No,anti-dementia drugs,Healthcare,"Most patients (95.3%) had dementia (68.7% of whom had Alzheimer's disease), and 70.6% were concomitantly treated with anti-dementia drugs.",Medication use related to dementia management.
40451134,No,social determinants of health (SDOH),Healthcare,"Bonferroni-adjusted analyses were performed overall, by ancestry, by sex, and with adjustment for social determinants of health (SDOH).",SDOH is a healthcare-related social determinant factor.
40451134,No,dementia,AD/ADRD,"PheWAS identified 17 significant associations, including increased odds of hyperlipidaemia... dementia, and Alzheimer's disease (OR 1.55 [1.40-1.70]; P = 5 × 10<sup>-19</sup>).",Dementia is a core outcome in ADRD research.
40451134,No,Alzheimer's disease,AD/ADRD,"PheWAS identified 17 significant associations, including increased odds of hyperlipidaemia... dementia, and Alzheimer's disease (OR 1.55 [1.40-1.70]; P = 5 × 10<sup>-19</sup>).",Alzheimer's disease is a primary focus of ADRD studies.
40443135,No,,,,
40403677,No,dementia/Alzheimer's disease,ADRD,"Patients diagnosed with schizophrenia (p = 0.034), bipolar disorder (p = 0.016), depression (p = 0.008), obsessive-compulsive disorder (p = 0.015) and dementia/Alzheimer's disease (p = 0.003) were more likely to be compliant with treatments whereas patients affected by stress or post-traumatic stress disorder were significantly less complaint (p = 0.015 and p = 0.006, respectively).",Diagnosed condition explicitly named in the abstract.
40397128,No,,,,
40325979,No,polysomnography,Healthcare,OSA was assessed via polysomnography and prior history.,Polysomnography is a healthcare diagnostic tool.
40325979,No,actigraphy,Healthcare,Sleep duration and circadian phase were measured by self-report and actigraphy.,Actigraphy is a healthcare monitoring method.
40325979,No,memory clinic,Healthcare,In a memory clinic setting we aimed to (1) identify rates of obstructive sleep apnea (OSA)...,Memory clinic is a healthcare service setting.
40325979,No,global cognition,AD/ADRD,OSA was linked to impaired global cognition and memory (p < 0.05).,Global cognition is a domain affected in ADRD.
40325979,No,amnestic mild cognitive impairment (aMCI),AD/ADRD,Prolonged sleep predicted... a higher risk of aMCI (all p < 0.05).,aMCI is a precursor to ADRD.
40294330,No,memory clinic,Healthcare,"Participants were recruited from a single memory clinic in Catalonia, Spain.",Memory clinic is a healthcare setting involved in dementia care.
40294330,No,young-onset dementia,AD/ADRD,"The group intervention aimed at caregivers of persons with dementia is regarded as an effective tool for support and education. However, these groups do not specifically cater to caregivers of individuals with spouses affected by young-onset dementia.",Young-onset dementia is a specific form of ADRD.
40288270,No,,,,
39968751,No,,,,
39550616,No,mentoring and education on dementia care,Healthcare,Physiotherapists require 'greater opportunity for mentoring and education on dementia care',"Refers to healthcare professional training, not systemic healthcare access or quality."
39550616,No,advocate for the role of physiotherapy in dementia care,Healthcare,Physiotherapists must 'advocate for the role of physiotherapy in dementia care.',"Focuses on professional advocacy, not healthcare system-level impact."
37647340,Yes,healthcare providers,Healthcare,Future recommendations provided by healthcare providers to address SCD in cognitively unimpaired older adults might include focusing on technological assistance.,Healthcare providers' recommendations are a healthcare factor influencing ADRD management.
37647340,Yes,subjective cognitive decline (SCD),AD/ADRD,"Our findings suggest that technology-based behavioral strategies are associated with less SCD in individuals with a family history of AD, independent of another protective lifestyle factor.",SCD is an outcome linked to ADRD risk and healthcare intervention focus.
40587504,Yes,working in healthcare,Healthcare,"Residents... working in healthcare, having a higher income level, being unmarried, and having experience in Alzheimer's Disease and Related Dementias (ADRD) knowledge training have a higher level of knowledge about AD and a more positive attitude towards it.",Healthcare profession linked to improved ADRD knowledge.
40587504,Yes,Alzheimer's Disease and Related Dementias (ADRD) knowledge training,AD/ADRD,Residents... having experience in Alzheimer's Disease and Related Dementias (ADRD) knowledge training have a higher level of knowledge about AD and a more positive attitude towards it.,ADRD training correlates with enhanced knowledge and attitudes.
40515617,No,Alzheimer's disease and related dementias,ADRD,"The causes and nature of these cognitive impairments (CIs) are varied, extending beyond MCI and Alzheimer's disease and related dementias to encompass stroke, Parkinson's disease, and traumatic brain injury.",Mentioned as a specific cognitive impairment category.
40332047,Yes,dementia-capable home and community-based service systems,Healthcare,"Service and research organizations in Ohio collaborated to develop and expand dementia-capable home and community-based service systems, with a focus on individuals living with intellectual and developmental disability and dementia or at risk of dementia through the Administration for Community Living Alzheimer's Disease Programs Initiative (ADPI).",Refers to healthcare service systems designed for dementia care.
40332047,Yes,evidence-based interventions,Healthcare,"Over a 6-year period, 3 projects engaged over 900 individuals living with dementia and their supports and approximately 3500 service professionals through 6 education initiatives and 3 evidence-based interventions.",Healthcare interventions targeting dementia care delivery.
40332047,Yes,individuals living with dementia and their supports,AD/ADRD,"Over a 6-year period, 3 projects engaged over 900 individuals living with dementia and their supports and approximately 3500 service professionals through 6 education initiatives and 3 evidence-based interventions.",Population directly affected by dementia care systems.
39969227,No,,,,
40466093,Yes,web-based education program (iGeriCare),Healthcare,"We developed a web- and email-based dementia education platform for care partners, iGeriCare, which includes 12 asynchronous, multimedia, e-learning lessons and email-based content to reinforce the learning.",iGeriCare is a healthcare intervention aimed at improving dementia care partner outcomes.
40466093,Yes,"care partner knowledge, self-efficacy, and sense of burden",AD/ADRD,"Secondary objectives will examine the effectiveness of the educational resources on family care partners' knowledge, self-efficacy, and sense of burden.",These outcomes relate to dementia care partner experiences and ADRD management.
40457220,No,,,,
40456118,No,dementia-related stigma,ADRD,Dementia-related stigma is a significant global health concern.,Central theme of the study on ADRD perception.
40456118,No,health professionals,ADRD,"The findings from our study have important implications for policymakers, health professionals, and community advocates working to design awareness campaigns to reduce dementia-related stigma on social media.",Target audience for stigma reduction campaigns.
40545557,No,general health,Healthcare,"In a stepwise model, characteristics associated with a more favorable attitude toward research included [...] and having better general health.",General health is a healthcare-related factor influencing research participation.
40524437,No,Alzheimer's disease,AD/ADRD,"Sociodemographic predictors are established risk factors for Alzheimer's disease (AD), a leading cause of cognitive decline.",Study focuses on AD as a cognitive decline cause.
40524437,No,cognitive decline,AD/ADRD,"Sociodemographic predictors are established risk factors for Alzheimer's disease (AD), a leading cause of cognitive decline.",Cognitive decline is a key outcome in ADRD.
40432270,No,Dementia Friends Unite,Healthcare,This paper details the protocol for designing and evaluating a co-produced multilingual dementia education intervention named Dementia Friends Unite.,Represents a healthcare education initiative targeting dementia awareness.
40432270,No,multilingual dementia education intervention,Healthcare,A multi-stakeholder collaboration involving representatives from each of these communities was formed to co-produce the multilingual dementia education intervention.,Describes a healthcare-focused community education program.
40432270,No,dementia knowledge,AD/ADRD,"This project aims to improve dementia knowledge, attitudes and supportive practices in a multicultural context.",Directly references dementia-related knowledge outcomes.
40340427,Yes,healthcare access,Healthcare,Addressing these gaps through targeted education and improved diagnostic tools is essential for enhancing patient care.,Improved diagnostic tools and education enhance healthcare access for ADRD.
40340427,Yes,healthcare quality,Healthcare,Inconsistencies in evaluations and referrals revealed a gap between knowledge and practice.,Gaps in evaluations and referrals reflect healthcare quality issues in ADRD management.
40340427,Yes,Primary Progressive Aphasia (PPA),AD/ADRD,"This study aimed to assess Indonesian neurologists' knowledge, attitudes, and practices regarding PPA.",PPA is a neurodegenerative syndrome linked to ADRD requiring healthcare intervention.
40320775,No,Alzheimer's disease,ADRD,"Dancing may be protective for cognitive health among adults with mild cognitive impairment, Alzheimer's disease or dementia;",Mentions Alzheimer's disease as a condition linked to cognitive health.
40320775,No,dementia,ADRD,"Dancing may be protective for cognitive health among adults with mild cognitive impairment, Alzheimer's disease or dementia;",References dementia as a condition associated with cognitive health.
40298273,No,18 F-FDG PET imaging,ADRD,18 F-FDG PET imaging revealed severe hypometabolism in the right hemisphere.,Imaging technique used to diagnose ADRD-related brain metabolism changes.
40298273,No,brain MRI,ADRD,Brain MRI showed asymmetric enlargement of the right lateral ventricle and mild asymmetric parenchymal volume loss in the right hippocampus.,Neuroimaging method to detect structural brain changes in ADRD.
40267299,No,Alzheimer's disease and related dementias (ADRD),ADRD,Alzheimer's disease and related dementias (ADRD) are neurodegenerative disorders that afflict 1 in 9 older adults.,ADRD is the primary condition studied in the abstract.
40261356,No,,,,
40261292,No,Alzheimer's disease,ADRD,This study demonstrates that obesity is associated with a heightened burden of NPS in AD dementia patients.,Study focuses on Alzheimer's disease as the primary condition.
40261292,No,neuropsychiatric symptoms (NPS),ADRD,"BMI significantly affects NPI-Q total scores and specific symptoms, including delusions, hallucinations, agitation/aggression, elation/euphoria, disinhibition, irritability/lability, aberrant motor behavior, nighttime disturbances, and appetite/eating disturbances.",NPS are documented outcomes in Alzheimer's disease patients.
40261292,No,CRP,ADRD,"CRP and complement C3 were identified as mediators in the relationship between obesity and NPS, highlighting the role of systemic inflammation.",CRP is a biological mediator linked to NPS in Alzheimer's disease.
40249666,No,,,,
40107929,No,Alzheimer's disease dementia (AD),AD/ADRD,"This study identifies neuropsychiatric syndromes and investigates their relationship with neuroimaging in Alzheimer's disease dementia (AD), dementia with Lewy bodies (DLB), and mild cognitive impairment (MCI).",Directly refers to Alzheimer's disease dementia.
40107929,No,dementia with Lewy bodies (DLB),AD/ADRD,"This study identifies neuropsychiatric syndromes and investigates their relationship with neuroimaging in Alzheimer's disease dementia (AD), dementia with Lewy bodies (DLB), and mild cognitive impairment (MCI).",Classifies as a related dementia type.
40107929,No,mild cognitive impairment (MCI),AD/ADRD,"This study identifies neuropsychiatric syndromes and investigates their relationship with neuroimaging in Alzheimer's disease dementia (AD), dementia with Lewy bodies (DLB), and mild cognitive impairment (MCI).",Linked to ADRD progression pathways.
40082178,No,plasma biomarkers of Alzheimer's disease,ADRD,"This review depicts the relationships between modifiable lifestyle factors ... and plasma biomarkers of AD: Aβ42, Aβ40, Aβ42/40, phosphorylated tau, total tau, neurofilament light chain (NfL) and glial fibrillary acidic protein.",Biomarkers directly linked to Alzheimer's disease pathology.
40082178,No,blood-based biomarkers,ADRD,Blood-based biomarkers are emerging as a minimally invasive tool for disease detection and monitoring.,Diagnostic tools for Alzheimer's disease monitoring.
40072737,Yes,health literacy,Healthcare,"Multivariable analyses examined differences in knowledge, attitudinal, and behavioral outcomes by sociodemographic and psychosocial factors including health literacy and health activation.",Health literacy is a healthcare access/quality factor linked to ADRD awareness.
40072737,Yes,health activation,Healthcare,Participants with low health activation were less likely to agree that steps can be taken.,Health activation reflects healthcare engagement impacting ADRD risk perception.
40072737,Yes,knowledge of protective behaviors,AD/ADRD,"Less than a third (29.5%) were able to name three steps to support brain health, and 45.5% reported currently engaging in behaviors to support brain health.",Knowledge of protective behaviors is an ADRD-related outcome influenced by healthcare factors.
40072737,Yes,engagement in protective behaviors,AD/ADRD,"Most middle-aged Latinos believed brain health is actionable, while concern for ADRD, awareness of ways to protect the brain, and engagement in science-based protective behaviors was variable.",Engagement in protective behaviors is an ADRD-related action linked to healthcare access.
39949308,No,Alzheimer's disease,AD/ADRD,This study aimed to investigate the effectiveness of Brief Behavioral Activation Therapy (BBAT) on apathy symptoms in older adults with Alzheimer's disease (AD) in a medical center facility.,Condition studied in the research.
39922446,No,Alzheimer's disease,AD/ADRD,The current study aimed to identify classes of cognitively impaired older individuals based on their neuropsychiatric symptoms (NPSs) and to investigate the contribution of NPS class to cognitive decline and Alzheimer's disease (AD) risk in mild cognitive impairment (MCI).,Study investigates AD risk in MCI populations.
39922446,No,mild cognitive impairment,AD/ADRD,Our study included 1472 participants [...] who were diagnosed with MCI or mild AD and completed the Neuropsychiatric Inventory at their baseline visit.,Study population includes individuals with MCI.
39720972,No,,,,
39589019,No,ADRD risk,AD/ADRD,Black people in the United States (US) experience an increased risk of being diagnosed with Alzheimer's disease and related dementias (ADRD).,Directly references ADRD diagnosis risk in the population studied.
39589019,No,religious services attendance,Healthcare,more frequently attending religious services is significantly associated with reduced ADRD risk.,Religious services attendance is a behavioral factor linked to ADRD risk.
39589019,No,positive/negative affect,AD/ADRD,Higher levels of negative affect are significantly associated with increased ADRD risk while more frequently attending religious services is significantly associated with reduced ADRD risk.,Emotional states (affect) correlate with ADRD risk outcomes.
39562850,Yes,AD-focused research registry,Healthcare,"Alzheimer's disease (AD)-focused recruitment research registries can help identify eligible participants for AD studies, but registry participation is limited among racial and ethnic groups most at risk for AD.",Registry participation relates to healthcare access for AD research.
39562850,Yes,Alzheimer's disease (AD),AD/ADRD,"Alzheimer's disease (AD)-focused recruitment research registries can help identify eligible participants for AD studies, but registry participation is limited among racial and ethnic groups most at risk for AD.",Central focus of the study on AD research recruitment.
38668780,Yes,health insurance,Healthcare,"After additional adjustment for education, health insurance, usual source of care, and chronic conditions, only US-born Black older adults continued to show higher odds (OR = 1.54; 95% CI = 1.27-1.87) of diagnosed ADRD compared to US-born White older adults.",adjusted for in analysis of ADRD diagnosis disparities
38668780,Yes,usual source of care,Healthcare,"After additional adjustment for education, health insurance, usual source of care, and chronic conditions, only US-born Black older adults continued to show higher odds (OR = 1.54; 95% CI = 1.27-1.87) of diagnosed ADRD compared to US-born White older adults.",adjusted for in analysis of ADRD diagnosis disparities
38668780,Yes,diagnosed ADRD,AD/ADRD,Diagnosed ADRD was determined using ICD-9 (290/294/331/797) or ICD-10 (F01/F03/G30/G31) billing codes created from self-reports during MEPS household interviews.,outcome variable measured via healthcare billing codes
40262071,No,,,,
40705698,No,Alzheimer's dementia,AD/ADRD,The algorithm proposed here was designed to sub-serve a separate study that uses TOFF and TFD to differentiate apathy from depression in those suffering from Alzheimer's dementia.,Mentions ADRD as the target population for a separate study.
40415129,No,,,,
40413042,Yes,advance care planning (ACP),Healthcare,Planning Ahead is a randomised controlled trial to test the effectiveness of facilitated ACP in community-dwelling older adults including those with normal cognition and those with Alzheimer's Disease and Related Dementias (ADRD) who are at high risk of death.,ACP is a healthcare intervention targeting ADRD patients.
40413042,Yes,Respecting Choices Advanced Steps (RCAS) model,Healthcare,"The intervention uses the Respecting Choices Advanced Steps (RCAS) model of ACP delivered by a registered nurse and includes identification of the patient's values and goals, education about ACP and the POLST form and the opportunity to complete a POLST form.",RCAS is a healthcare process for ADRD patients' decision-making.
40413042,Yes,Alzheimer's Disease and Related Dementias (ADRD),AD/ADRD,Patients who lack capacity due to ADRD. The intervention uses the Respecting Choices Advanced Steps (RCAS) model of ACP delivered by a registered nurse...,ADRD patients are the focus of healthcare intervention evaluation.
40469616,Yes,public health interventions,Healthcare,"Factors such as education, socioeconomic status, and limited public health interventions contribute to the development of Alzheimer's disease and other dementias.",Limited public health interventions are linked to ADRD development.
40469616,Yes,Alzheimer's disease and other dementias,AD/ADRD,"Factors such as education, socioeconomic status, and limited public health interventions contribute to the development of Alzheimer's disease and other dementias.",Target outcome of healthcare factor impact.
40203665,No,Dementia with Lewy Bodies (DLB),AD/ADRD,The main objective of the current study is to elucidate early clinical features of pathologically confirmed DLB without parkinsonism (DLB-nP) that potentially resemble Alzheimer's disease (AD).,DLB is a type of dementia related to ADRD.
40203665,No,Alzheimer's disease (AD),AD/ADRD,"We accessed the National Alzheimer's Coordinating Center database from 2005 to December 2022 data freeze and included 3159 Alzheimer's disease, 91 DLB-nP, and 307 DLB with parkinsonism (DLBP) cases.",AD is a core focus of the study.
40203665,No,DLB without parkinsonism (DLB-nP),AD/ADRD,Misdiagnosis as AD in DLB-nP stands at 75.8 %.,DLB-nP is a subtype of DLB compared to AD.
40209131,No,Frontotemporal dementia (FTD),ADRD,Frontotemporal dementia (FTD) includes behavioral-variant FTD (bvFTD) with predominant frontal atrophy and semantic behavioral-variant FTD (sbvFTD) with predominant right anterior temporal lobe (rATL) atrophy.,FTD is a type of dementia related to ADRD.
40203226,No,Alzheimer disease pathology,ADRD,"Alzheimer disease pathology (neuritic plaques, amyloid deposition, and neurofibrillary tangles), Lewy body pathology, transactive DNA-binding protein 43, lacunar infarcts, hyaline arteriolosclerosis, and cerebral amyloid angiopathy were evaluated following international criteria using immunohistochemistry and hematoxylin and eosin staining.",Neuropathologic outcome associated with ADRD.
40431348,No,Alzheimer's disease,AD/ADRD,"Diseases such as major depressive disorder (MDD) and Alzheimer's disease (AD) are more prevalent in women and may be influenced by hormonal transitions, particularly during menopause.",Direct mention of Alzheimer's disease as a prevalent condition in women.
40324770,No,emotional support,Social_and_community_context,"Our findings indicated a higher prevalence of IS compared to ES. Regression models revealed that ES primarily occurs in posts relating to nursing and caring, and IS primarily occurs in posts concerning medical conditions and diagnosis, legal and financial, and caregiving at home.",Refers to social support mechanisms in online communities.
40324770,No,informational support,Social_and_community_context,"Our findings indicated a higher prevalence of IS compared to ES. Regression models revealed that ES primarily occurs in posts relating to nursing and caring, and IS primarily occurs in posts concerning medical conditions and diagnosis, legal and financial, and caregiving at home.",Involves guidance and advice shared in social platforms.
40324770,No,online communities,Social_and_community_context,"This study reveals that online communities dedicated to AD/ADRD support engage in discussions on a wide range of topics, such as memory care, nursing, caregiving, and legal and financial challenges.",Platforms for social interaction and resource sharing.
40442881,No,cognitive decline,ADRD,The study focused on adults with low education; a group with a high risk for cognitive decline.,Cognitive decline is a core outcome in ADRD research.
40442881,No,dementia prevention,ADRD,Dementia prevention trials with longer intervention and follow-up focused on adults with limited formal education should be considered given the observed cognitive gains in those with elevated risk.,Dementia prevention directly relates to ADRD mitigation strategies.
40407095,Yes,health care experiences,Healthcare,"This article offers rationale, empirical support, and guidance for using the selected constructs: transportation security, financial security, social connectedness, health care experiences, and discrimination, as well as recommendations for next steps that each ADRC can take to maximize local and field-level progress.",Healthcare experiences are part of SDOH linked to ADRD risk and care.
40407095,Yes,Alzheimer's disease and related dementias (ADRD),AD/ADRD,"The Alzheimer's Disease Research Centers (ADRCs) consortium represents a critical locus of research on Alzheimer's disease and related disorders (ADRD) prevention, diagnosis, and intervention.",Primary focus of the study on ADRD risk and care.
40404275,No,,,,
40371732,No,Dementia with Lewy bodies (DLB),ADRD,"Dementia with Lewy bodies (DLB) is inadequately diagnosed and treated, which negatively influences patient outcomes.",DLB is a subtype of ADRD and central to the study's focus.
40357887,No,3T brain MRI,Healthcare,"Vanderbilt Memory and Aging Project participants (n = 404) completed actigraphy (7 days), neuropsychological assessment, and 3T brain MRI over a 7-year period.",3T brain MRI is a healthcare diagnostic tool used to assess brain structure.
40357887,No,neuropsychological assessment,Healthcare,"Vanderbilt Memory and Aging Project participants (n = 404) completed actigraphy (7 days), neuropsychological assessment, and 3T brain MRI over a 7-year period.",Neuropsychological assessment is a healthcare service to evaluate cognitive function.
40357887,No,Alzheimer's disease (AD),AD/ADRD,Sedentary behavior may be a modifiable risk factor for Alzheimer's disease (AD).,AD is the primary health outcome studied in the paper.
40357887,No,neurodegeneration,AD/ADRD,"Results support the importance of reducing sedentary time, particularly among aging adults at genetic risk for AD. Greater sedentary behavior is related to neurodegeneration and worse cognition.",Neurodegeneration is an outcome linked to ADRD in the study.
40331508,Yes,Aβ status disclosure,Healthcare,Motivation for lifestyle changes decreased after Aβ disclosure.,Involves healthcare communication strategy impacting ADRD risk perception.
40331508,Yes,Alzheimer's disease (AD),AD/ADRD,"Amyloid beta (Aβ) can be detected in vivo years before Alzheimer's disease (AD) symptom onset and, according to recent criteria, is sufficient for a biological diagnosis.",Core focus of the study on ADRD diagnosis and risk communication.
40331508,Yes,Personalized communication strategies,Healthcare,Results support personalized communication strategies for Aβ disclosure.,Healthcare approach to manage ADRD-related information delivery.
40304268,No,amyloid burden,AD/ADRD,Becoming adherent to recommendations was linked to lower amyloid burden compared to becoming non-adherent.,Amyloid burden is a key biomarker for Alzheimer's disease.
40304268,No,cortical thickness,AD/ADRD,"Remaining sedentary was associated with lower cortical thickness compared to doing limited physical activity, maintaining adherence, or becoming adherent to WHO recommendations.",Cortical thickness reflects brain integrity in AD-vulnerable regions.
40304268,No,physical activity,Healthcare,Physical activity increases relate to lower Aβ burden in a dose-dependent manner.,Physical activity is a behavioral factor influencing brain health.
40304268,No,WHO-recommended physical activity levels,Healthcare,New adherence to WHO-recommended physical activity levels may enhance brain health.,WHO guidelines represent structured health behavior recommendations.
40245823,No,education,Healthcare,"The following risk factors were associated with the reversion from MCI to normal cognition: education (low to high), age, Mini-Mental State Examination (MMSE), Functional Activities Questionnaire (FAQ), Auditory Verbal Learning Test (AVLT) delay recall test, Apolipoprotein E (APOE) positive, multiple domain impaired, live along, depression, doing house work daily/exercise once a week.",Education is a healthcare-related socioeconomic factor influencing cognitive outcomes.
40245823,No,Mini-Mental State Examination (MMSE),AD/ADRD,"The following risk factors were associated with the reversion from MCI to normal cognition: education (low to high), age, Mini-Mental State Examination (MMSE), Functional Activities Questionnaire (FAQ), Auditory Verbal Learning Test (AVLT) delay recall test, Apolipoprotein E (APOE) positive, multiple domain impaired, live along, depression, doing house work daily/exercise once a week.",MMSE is a clinical tool used to assess cognitive impairment.
40245823,No,Functional Activities Questionnaire (FAQ),AD/ADRD,"The following risk factors were associated with the reversion from MCI to normal cognition: education (low to high), age, Mini-Mental State Examination (MMSE), Functional Activities Questionnaire (FAQ), Auditory Verbal Learning Test (AVLT) delay recall test, Apolipoprotein E (APOE) positive, multiple domain impaired, live along, depression, doing house work daily/exercise once a week.",FAQ measures functional impairment in cognitive disorders.
40245823,No,Auditory Verbal Learning Test (AVLT) delay recall test,AD/ADRD,"The following risk factors were associated with the reversion from MCI to normal cognition: education (low to high), age, Mini-Mental State Examination (MMSE), Functional Activities Questionnaire (FAQ), Auditory Verbal Learning Test (AVLT) delay recall test, Apolipoprotein E (APOE) positive, multiple domain impaired, live along, depression, doing house work daily/exercise once a week.",AVLT assesses memory function in cognitive impairment.
40245823,No,Apolipoprotein E (APOE) positive,AD/ADRD,"The following risk factors were associated with the reversion from MCI to normal cognition: education (low to high), age, Mini-Mental State Examination (MMSE), Functional Activities Questionnaire (FAQ), Auditory Verbal Learning Test (AVLT) delay recall test, Apolipoprotein E (APOE) positive, multiple domain impaired, live along, depression, doing house work daily/exercise once a week.",APOE is a genetic risk factor for Alzheimer's disease.
40232259,No,dementia risk,ADRD,older adults at increased dementia risk,Study focuses on dementia risk in older adults.
40232259,No,healthy diet,ADRD,consumption of a healthy diet was moderate,Healthy diet linked to dementia prevention.
40116688,No,,,,
40084665,No,dementia with Lewy bodies (DLB),ADRD,"A descriptive study using a transversal national online survey to evaluate the prevalence and characteristics of behavioral and psychological symptoms (BPSD) of dementia with Lewy bodies (DLB), and specifically, the perpetration of violent acts against primary caregivers.",DLB is a subtype of ADRD.
40055039,No,,,,
39878054,No,Alzheimer's disease and related dementias (ADRD),AD/ADRD,"Adverse childhood experiences (ACEs) are associated with an increased risk of developing chronic health conditions, including Alzheimer's disease and related dementias (ADRD) and subjective cognitive decline (SCD), self-reported confusion/memory loss, and an early clinical manifestation of ADRD.",Mentions ADRD as an outcome linked to ACEs.
