PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40431348,dietary habits,Yes,['diet'],"Chronic low-grade inflammation is emerging as a shared mechanism underlying both conditions, and this inflammatory state can be worsened by dietary habits.",Dietary habits influence inflammation and neurodegenerative diseases.
40431348,high-glycemic foods,Yes,['diet'],"During menopause, mood and sleep disturbances can influence dietary behavior, leading to enhanced snacking and consumption of high-glycemic and comfort foods.",Entity affects dietary behavior and consumption patterns.
40431348,comfort foods,Yes,['diet'],"During menopause, mood and sleep disturbances can influence dietary behavior, leading to enhanced snacking and consumption of high-glycemic and comfort foods.",Comfort foods influence dietary behavior and consumption patterns.
40431348,Western diet pattern,Yes,['diet'],Their consumption combined (or not) with a preexisting Western diet pattern-already linked to inflammation-could reinforce systemic inflammation involving the gut-brain axis.,Describes a dietary pattern linked to inflammation.
40442881,high polyphenol snacks,Yes,['diet'],"We report the feasibility and cognitive outcomes of a stage 1b randomized trial testing 3 months of home-delivered high polyphenol snacks (e.g., nuts, berries) and online speed of processing training among older adults with 12 or fewer years of education.",The entity is related to a dietary intervention.
40442881,polyphenol-rich snacks,Yes,['diet'],"One hundred eighty participants were randomized to polyphenol-rich snacks and online cognitive training, polyphenol snacks and online control games, control snacks and cognitive training, or control snacks and control games.",Entity refers to a specific dietary intervention.
40232259,healthy dietary patterns,Yes,['diet'],"BackgroundHealthy dietary patterns have been linked to reduced risks for cardiovascular diseases and dementia, making nutrition an essential part of a comprehensive approach for dementia prevention.",Describes a pattern of diet related to dementia risk.
40232259,healthy diet,Yes,['diet'],"Consumption of a healthy diet was moderate (Median = 4, IQR = 2).",The entity 'healthy diet' refers to dietary habits.
40055039,Healthy Eating Index (HEI-2015),Yes,['diet'],"Five dietary pattern scores were calculated utilizing one (1999-2002) or two repeated (2003-2016) 24hr dietary recalls, including the Healthy Eating Index (HEI-2015), the healthful plant-based diet index (hPDI), the alternate Mediterranean diet (aMED), the Dietary Approach to Stop Hypertension diet (DASH), and the Mediterranean-DASH Intervention for Neurodegenerative Delay diet (MIND) scores.",Measures dietary pattern and quality
40055039,Alternate Mediterranean diet (aMED),Yes,['diet'],"Higher aMED score was associated with a lower risk of AD mortality (HR<sub>T3</sub><sub>vs T1</sub>: 0.72, 95 % CI, 0.52-1.00, p-trend = 0.041).",aMED score is related to dietary pattern.
40055039,Mediterranean-DASH Intervention for Neurodegenerative Delay diet (MIND),Yes,['diet'],"Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",MIND diet is associated with lower odds of cognitive impairment.
40055039,Vegetables and nuts,Yes,['diet'],"The potential contributors to these associations included higher intake levels of vegetables and nuts, moderate alcohol consumption, and lower intake level of sweets.",Entity represents dietary components associated with cognitive outcomes.
40055039,Sweets,Yes,['diet'],"The potential contributors to these associations included higher intake levels of vegetables and nuts, moderate alcohol consumption, and lower intake level of sweets.",Lower intake of sweets relates to dietary pattern.
40044393,healthy diet,Yes,['diet'],"We constructed the lifestyle score based on no current smoking, moderate alcohol consumption, regular physical activity, healthy diet, adequate sleep duration, less sedentary behavior, and frequent social contact.",Describes a dietary pattern associated with health.
39863327,ultra-processed food consumption,Yes,['diet'],"Among participants who were <68 years of age at baseline, each serving per day of ultra-processed food was associated with 13 % increased risk for Alzheimer's disease (HR = 1.13, 95 % CI:1.03-1.25), and consumption of ≥10 servings/day vs. <10 servings/day of ultra-processed food was associated with a 2.7-fold increase in Alzheimer's disease risk (HR = 2.71, 95 % CI:1.18-6.24), after adjustment for age, sex, education, total energy, metabolic factors and diet quality.",The entity is related to the consumption pattern of food.
39863327,ultra-processed food,Yes,['diet'],"Ultra-processed food consumption is emerging as a risk factor for various cardiometabolic diseases, however its association with dementia and Alzheimer's disease has rarely been explored.",Entity relates to regular food consumption pattern.
39791248,diet,Yes,['diet'],"The e-learning covers seven themes delivered week-by-week covering cognitive and physical activity, diet, and cardiovascular health, amongst others.",Entity 'diet' is related to food consumption pattern.
39791248,Mediterranean diet adherence,Yes,['diet'],"Improvements over time were seen in knowledge of dementia risk reduction, Mediterranean diet adherence, social contact satisfaction, and motivation for physical activity.",Reflects dietary pattern and adherence
39608496,dietary folate intake,Yes,['diet'],We performed mutation analysis via whole exome and Sanger sequencing in 2431 cases and 1265 healthy controls and the food frequency-based dietary folate intake assessment.,Relates to regular pattern of folate consumption.
39608496,folate,Yes,['access_to_healthy_and_nutritious_options'],Mandatory folate fortification nullified this association.,Folate fortification relates to availability of nutritious food.
39794733,food security,Yes,['food_insecurity'],"Data were collected during each survey cycle on self-reported domains of SDoH, which included eight subscales: employment, family income-to-poverty ratio, food security, education level, health insurance coverage, type of health insurance, home ownership, and marital status.",Food security is related to access to adequate food.
39800460,alcohol consumption,No,[],"Various measurements (neurocognitive assessment, blood pressure) and survey responses (demographics, cognitive, social, and physical activity, smoking, alcohol consumption, body height and weight, depression, and previous diagnoses) were collected approximately every four years.",Not directly related to ADRD or food factor
39800460,brain healthy lifestyle,No,['Undefined'],"A brain healthy lifestyle, consisting of good cardiometabolic health and being cognitively and socially active in midlife, is associated with a lower risk of cognitive decline years later.",Not a food-related entity
39799941,maternal diet,Yes,['diet'],"An intricate relationship exists between maternal nutrition and adult eating behavior, metabolic phenotype, and cognitive abilities.",Maternal diet influences adult eating behavior and cognitive abilities.
39799941,unbalanced maternal diet,Yes,['diet'],We first reviewed studies showing an association between unbalanced maternal diet and cognitive impairments in the progeny in humans and rodent models.,Describes a specific dietary pattern affecting cognitive health.
39799941,gut microbiota,Yes,['diet'],We also discussed the involvement of progeny's gut microbiota in the maternal diet-induced vulnerability to metabolic and neurodegenerative diseases.,Gut microbiota is related to dietary patterns and influences health.
39413721,lifestyle changes,Yes,['diet'],"Messaging may benefit from utilizing analogies, considering familism and spirituality, and highlighting lifestyle changes that do not carry a financial burden or place blame on individuals.",Lifestyle changes can include dietary modifications.
39413721,physical health,Yes,['diet'],"Brain health promotion is largely viewed as actionable (spanning physical health, cognitively stimulating activities, emotional wellbeing, medical self-management, and social connectedness);",Physical health is related to diet and overall nutrition.
39387147,diet,Yes,['diet'],"A lifestyle index was created based on smoking status, alcohol consumption, physical activity, social connections, sleep duration, diet, and sedentary behavior.",Entity 'diet' is a component of lifestyle index.
38404021,eating problems,No,['Undefined'],"Eating problems frequently occur in people with dementia with Lewy bodies (DLB), but few studies have investigated the clinical background of this phenomenon.","Eating problems is a symptom, not a food factor."
38404021,dysphagia,No,['Undefined'],"The worsening of eating problems was related to dysphagia (<i>β</i> = 0.24, <i>p</i> = 0.03), apathy (<i>β</i> = 0.23, <i>p</i> = 0.05), and nighttime behavior (<i>β</i> = 0.24, <i>p</i> = 0.04).","Dysphagia is a symptom, not a food factor."
38404021,constipation,No,[],"The participant-physician kappa coefficient for physician understanding of constipation, weight loss, dysphagia, weight gain, and increase in appetite was significantly lower than the corresponding participant-caregiver kappa coefficient (<i>p</i>-value of five symptoms < 0.01).","Constipation is a symptom, not a food factor."
38404021,weight loss,No,[],"The participant-physician kappa coefficient for physician understanding of constipation, weight loss, dysphagia, weight gain, and increase in appetite was significantly lower than the corresponding participant-caregiver kappa coefficient (<i>p</i>-value of five symptoms < 0.01).","Weight loss is a symptom, not a food factor."
38404021,weight gain,No,[],"The participant-physician kappa coefficient for physician understanding of constipation, weight loss, dysphagia, weight gain, and increase in appetite was significantly lower than the corresponding participant-caregiver kappa coefficient (<i>p</i>-value of five symptoms < 0.01).","Entity is related to symptom, not food factor."
38404021,increase in appetite,No,[],"The participant-physician kappa coefficient for physician understanding of constipation, weight loss, dysphagia, weight gain, and increase in appetite was significantly lower than the corresponding participant-caregiver kappa coefficient (<i>p</i>-value of five symptoms < 0.01).","Entity is a symptom, not a food factor."
39571150,nutrition,Yes,['diet'],"The secondary outcomes are cognitive function and lifestyle (physical activity, sleep, nutrition, alcohol and tobacco use, and mental and social activity) behaviors.",Nutrition is related to dietary patterns and intake.
39497305,nutritional status,Yes,['diet'],Education attainment and nutritional status were significantly associated with MMSE scores in the hospitalized Chinese elderly.,Nutritional status relates to dietary patterns and intake.
39392181,diet,Yes,['diet'],"Lifestyle factors included education, occupational attainment, physical activity, social engagement, diet, and mindfulness.",Entity 'diet' is a lifestyle factor related to food.
38459948,dietary habits,Yes,['diet'],"The primary outcomes were future directives, dietary habits, and physical activity scores.",Dietary habits relate to the regular pattern of food consumption.
38459948,lifestyle factors in AD risk,No,[],Future work will explore whether pairing disclosure with education about the role of lifestyle factors in AD risk and providing guidelines on making risk-lowering lifestyle modifications as an intervention approach leads to positive change.,Entity is too broad and not specific to food.
39353910,alcohol consumption,No,['Undefined'],"Mediation analysis elucidates that alcohol consumption explained 12.8%, 15.2%, and 11.1% of the associations of probable sarcopenia with the risk of ACD, AD, and VD, respectively.",Alcohol consumption is not a food factor.
39353910,alcohol consumption,No,[],"Our study reveals a significant association between probable sarcopenia and an increased risk of dementia, with alcohol consumption playing a mediating role in this association.","Not a food factor, related to lifestyle behavior"
39140428,lifestyle,No,['Undefined'],Recent guidelines point to lifestyle as a tool for decreasing Alzheimer's disease (AD) risk.,Lifestyle is broader than food factors.
39140428,Alzheimer's disease (AD) lifestyle risk reduction education,No,['Undefined'],The health coaching sessions provided Alzheimer's disease (AD) lifestyle risk reduction education and goal setting/planning.,Not related to food factors
39140428,physical activity,No,[],Significant difference scores indicated greater cognitive ability (p < .01) and physical activity (p < .001) gains in the intervention group,Not related to Food factor
39140368,obesity,No,['Undefined'],The incidence of Alzheimer's disease (AD) and obesity rise concomitantly.,"Obesity is a metabolic condition, not a food factor."
39140368,alcohol abuse,No,[],"Hispanic/Latino and Native Hawaiian/Pacific Islander, but not Black subjects, had increased AD risk compared to White subjects. Non-infectious hepatitis and alcohol abuse were significant hazards, and alcohol abuse had a greater impact on women than men.",Alcohol abuse is not a food factor
39140368,alcohol consumption,Yes,['diet'],Alcohol consumption and non-infectious hepatitis are significant hazards for AD.,Alcohol consumption is related to dietary habits.
39140368,underweight,Yes,['diet'],"While underweight increased AD risk, overweight or obesity reduced risk.",Underweight relates to dietary patterns and nutritional status.
39140368,overweight,Yes,['diet'],"While underweight increased AD risk, overweight or obesity reduced risk.",Overweight relates to dietary habits and nutritional status.
39140368,obesity,Yes,['diet'],"While underweight increased AD risk, overweight or obesity reduced risk.",Obesity is related to dietary patterns and habits.
39083787,diet,Yes,['diet'],"eHealth-based MHBC interventions significantly increased ... fruit intake (standardized mean difference [SMD] 0.18, 95% CI 0.04-0.32; P=.01), vegetable intake (SMD 0.17, 95% CI 0.05-0.28; P=.003), ... and decreased fat intake (SMD -0.23, 95% CI -0.33 to -0.13; P<.001).",The entity 'diet' is related to food intake patterns.
39083787,fruit intake,Yes,['diet'],"eHealth-based MHBC interventions significantly increased ... fruit intake (standardized mean difference [SMD] 0.18, 95% CI 0.04-0.32; P=.01)",Fruit intake is related to dietary patterns.
39083787,vegetable intake,Yes,['diet'],"eHealth-based MHBC interventions significantly increased ... vegetable intake (SMD 0.17, 95% CI 0.05-0.28; P=.003)",Vegetable intake is related to dietary patterns.
39083787,fat intake,Yes,['diet'],"eHealth-based MHBC interventions ... decreased fat intake (SMD -0.23, 95% CI -0.33 to -0.13; P<.001).",Fat intake is related to dietary patterns.
38797480,eating frequency,Yes,['diet'],"Eating frequency, but not eating time window, was positively associated with global cognition, executive and language performance even after controlling for age, sex, education, BMI, and Mediterranean diet.",Relates to the pattern of food consumption.
38797480,eating time window,Yes,['diet'],"Eating frequency, but not eating time window, was positively associated with global cognition, executive and language performance even after controlling for age, sex, education, BMI, and Mediterranean diet.",Relates to the pattern and content of food consumption.
38797480,Mediterranean diet,Yes,['diet'],"Eating frequency, but not eating time window, was positively associated with global cognition, executive and language performance even after controlling for age, sex, education, BMI, and Mediterranean diet.",Mediterranean diet is a type of dietary pattern.
38797480,eating pattern,Yes,['diet'],An eating pattern characterized by less frequent eating and/or by earlier times is present in individuals with worse cognitive performance.,Relates to regular pattern of food consumption.
38781628,eating ability,No,[],"This systematic review aimed to describe the characteristics of instruments that assess eating ability and/or mealtime behaviors in persons living with dementia, and evaluate their psychometric properties.","Entity is related to assessment of dementia, not food factor."
38781628,mealtime behaviors,No,[],"This systematic review aimed to describe the characteristics of instruments that assess eating ability and/or mealtime behaviors in persons living with dementia, and evaluate their psychometric properties.","Entity is related to assessment of dementia, not food factor."
38781628,Edinburgh Feeding Evaluation in Dementia (EdFED),No,[],"Edinburgh Feeding Evaluation in Dementia (EdFED), Mealtime Difficulty Scale for older adults with Dementia (MDSD), and Dementia Hyperphagic Behavior Scale (DHBS) were scored as having the highest quality (total PAT score = 9).","Entity is an assessment tool, not a food factor."
38781628,Mealtime Difficulty Scale for older adults with Dementia (MDSD),No,[],"Edinburgh Feeding Evaluation in Dementia (EdFED), Mealtime Difficulty Scale for older adults with Dementia (MDSD), and Dementia Hyperphagic Behavior Scale (DHBS) were scored as having the highest quality (total PAT score = 9).","Entity is an assessment tool, not a food factor."
38781628,Dementia Hyperphagic Behavior Scale (DHBS),No,[],"Edinburgh Feeding Evaluation in Dementia (EdFED), Mealtime Difficulty Scale for older adults with Dementia (MDSD), and Dementia Hyperphagic Behavior Scale (DHBS) were scored as having the highest quality (total PAT score = 9).","Entity is an assessment tool, not a food factor."
37876144,Mediterranean diet,Yes,['diet'],"A greater adherence to the MD, here assessed by a serum MDMS, is associated with lower odds of CD in older adults.",Mediterranean diet is related to dietary pattern.
37876144,MD-metabolomic score,Yes,['diet'],The MDMS is found to be inversely associated with CD (odds ratio [OR] [95% confidence interval (CI)] = 0.90 [0.80-1.00]; p = 0.048) in the Bordeaux (discovery) cohort.,MD-metabolomic score reflects adherence to Mediterranean diet.
38872204,nutritional counseling,Yes,['diet'],"The multidomain intervention comprises a combination of 7 lifestyle components (physical activity, cognitive training, cardiovascular risk factor management, nutritional counseling, sleep counseling, stress management, and social activities) and 1 nutritional product (Souvenaid®) that could help maintain cognitive functioning.",Nutritional counseling impacts dietary habits and food choices.
38872204,Souvenaid®,Yes,['diet'],"The multidomain intervention comprises a combination of 7 lifestyle components (physical activity, cognitive training, cardiovascular risk factor management, nutritional counseling, sleep counseling, stress management, and social activities) and 1 nutritional product (Souvenaid®) that could help maintain cognitive functioning.",Souvenaid is a nutritional product impacting cognitive health.
38599469,alcohol consumption,Yes,['diet'],"In this review, we synthesize data from preclinical, clinical, and epidemiological models to evaluate the combined role of alcohol consumption and serotonergic dysfunction in AD, underscoring the need for further research on this topic.",Alcohol consumption is related to dietary patterns.
38599469,alcohol use disorder,No,[],"We first discuss the limitations inherent to current data-collection methods, and how neuropsychiatric symptoms common among AD, alcohol use disorder, and serotonergic dysfunction may mask their co-occurrence.",Not related to Food factor
38597160,healthy diet,Yes,['diet'],"We examined 555 decedents from the Rush Memory and Aging Project, free of dementia at their initial concurrent report of lifestyle health behaviors of interest (physical, social, and cognitive activities, and healthy diet), and who underwent a postmortem neuropathology evaluation.",The entity 'healthy diet' relates to the regular pattern of food consumption.
37930366,diet,Yes,['diet'],"Compared to living with others, living alone was associated with worsened physical activity, diet, and subjective memory/thinking, adjusted for sex and age.",The entity 'diet' is related to the regular pattern of food consumption.
38515359,dietary habits,Yes,['diet'],This study investigated the association between dietary habits and dementia progression over 3 years in patients with Alzheimer's disease dementia (ADD).,Describes regular pattern of food consumption.
38515359,eat all food evenly,Yes,['diet'],"In Q10 (eat all food evenly without being picky), the 3-year mean differences in CDR-SB (increases in scores represent worsening) compared to the ""rarely"" group were -1.86 [95% confidence interval (CI)=-3.64 - -0.09, <i>p</i>=0.039] for the ""usually"" group and -2.23 (95% CI=-4.40 - -0.06, <i>p</i>=0.044) for the ""always"" group.",Relates to dietary habits and balanced eating.
38515359,add salt or soy sauce to food,Yes,['diet'],"In Q7 (add salt or soy sauce to food when eating), the 3-year mean differences in CDR-SB compared to the ""always"" group were -2.47 (95% CI=-4.70 - -0.24, <i>p</i>=0.030) for the ""usually"" group and -3.16 (95% CI=-5.36 - -0.96, <i>p</i>=0.005) for the ""rarely"" group.",The entity is related to dietary habits and salt intake.
37995949,fruits/vegetables,Yes,['diet'],"The top three ranked predictors at the county level were insufficient sleep, consuming less than one serving of fruits/vegetables per day among adults, and having less than a high school diploma.",Entity relates to dietary consumption pattern.
37995949,diet,Yes,['diet'],"While sleep, diet, and education are important nationally, differing prevention strategies could be employed based on a county's level of disadvantage.",Entity 'diet' is related to food consumption pattern.
38315471,Mediterranean-DASH Intervention for Neurodegenerative Delay (MIND) diet,Yes,['diet'],"A healthy lifestyle score was developed based on self-reported factors, including noncurrent smoking, at least 150 minutes of physical activity per week, limiting alcohol consumption, a Mediterranean-DASH Intervention for Neurodegenerative Delay (MIND) diet score higher than 7.5, and a late-life cognitive activity score higher than 3.2.",The entity is related to a dietary pattern score.
38145312,Diet,Yes,['Undefined'],The study was based on the randomly selected cohort of the Hellenic Longitudinal Investigation of Aging and Diet (HELIAD).,"Entity is part of a study name, not directly related to ADRD."
38095938,hyperorality or altered food preferences,Yes,['diet'],"Disinhibition, loss of sympathy/empathy and hyperorality or altered food preferences were associated with cognitive theory of mind.",Altered food preferences relate to dietary habits and choices.
37656632,MIND dietary pattern,Yes,['diet'],"Positive associations between continuous MIND scores and education-dependent standardised cognitive scores for each test and global cognition were observed, unadjusted or adjusted for covariates;",MIND dietary pattern is related to diet
37656632,Mediterranean Eating Pattern for Americans (MEPA) III,Yes,['diet'],Similar observations were noted with MEPA III with AFT [0.58 (0.43-0.79)] and CERAD Delayed Recall [0.66 (0.46-0.94)].,MEPA III is related to dietary pattern accordance.
39031363,lifestyle intervention,No,[],We aimed to qualitatively identify barriers and facilitators to implementing a clinical trial of a novel lifestyle intervention (My Healthy Brain) in our medical center for older patients with subjective cognitive decline who are at-risk for AD/ADRD.,Not a food-related entity
39031363,My Healthy Brain,No,['Undefined'],We aimed to qualitatively identify barriers and facilitators to implementing a clinical trial of a novel lifestyle intervention (My Healthy Brain) in our medical center for older patients with subjective cognitive decline who are at-risk for AD/ADRD.,"My Healthy Brain is a lifestyle intervention, not a food factor."
38759017,Mediterranean diet,Yes,['diet'],"LIBRA improved similarly in both groups, as did Mediterranean diet adherence and body mass index.",Mediterranean diet is related to dietary pattern.
38759007,diet,Yes,['diet'],"The most relevant determinants identified include attitudes (i.e., lacking a passion for cooking and finding pleasure in drinking alcohol or smoking), misperceptions on social comparisons (i.e., overestimating healthy diet intake and underestimating alcohol intake), and low perceived behavioral control (i.e., regarding changing physical inactivity, altering diet patterns, and smoking cessation).",Refers to regular pattern of food consumption.
38759007,diet patterns,Yes,['diet'],"The most relevant determinants identified include attitudes (i.e., lacking a passion for cooking and finding pleasure in drinking alcohol or smoking), misperceptions on social comparisons (i.e., overestimating healthy diet intake and underestimating alcohol intake), and low perceived behavioral control (i.e., regarding changing physical inactivity, altering diet patterns, and smoking cessation).",Refers to the regular pattern of food consumption.
38346414,diet,Yes,['diet'],"We identified fourteen broadly defined modifiable risk factors that were significantly associated with these disorders: alcohol consumption, body weight, depression, diabetes mellitus, diet, hypertension, less education, physical inactivity, sensory loss, sleep disturbance, smoking, social isolation, traumatic brain injury, and vitamin D deficiency.",Diet is a modifiable risk factor for NCDs.
38160351,healthy lifestyle,Yes,['diet'],"Other participants had a negative attitude, expressing that they were already following a healthy lifestyle, did not feel it was relevant to them yet, and/or held a deterministic view that dementia is random.",Implies overall dietary pattern and lifestyle choices
37916306,healthy diets,Yes,['diet'],Non-pharmacological measures by adopting healthy diets and encouraging physical and cognitive activities and urging multidomain approaches are important for prevention of VCI and preservation of vascular brain health.,Adopting healthy diets relates to regular food consumption patterns.
37732415,prenatal nutrition,Yes,['diet'],"In this review, we summarize current evidence for early-life effects on small vessel disease, stroke and dementia focusing on prenatal nutrition, and cognitive ability, education, and socioeconomic status in childhood.",Prenatal nutrition relates to diet during pregnancy.
38129775,healthy lifestyle behaviors,Yes,['diet'],We plan to enroll 225 community-dwelling adults (25% from underrepresented groups) aged 65 + who endorse subjective cognitive decline (SCD) and low baseline levels of healthy lifestyle behaviors.,Related to diet and overall lifestyle choices.
38129775,lifestyle,No,['Undefined'],"Participants in both interventions will receive education about a variety of memory support strategies and healthy lifestyle behaviors, focusing on physical and cognitive activity and stress management.",Lifestyle is not a food-related factor.
38129775,cognitive activity,No,[],"Participants in both interventions will receive education about a variety of memory support strategies and healthy lifestyle behaviors, focusing on physical and cognitive activity and stress management.",Not related to Food factor
38129775,physical activity,No,[],"Participants in both interventions will receive education about a variety of memory support strategies and healthy lifestyle behaviors, focusing on physical and cognitive activity and stress management.",Not a food-related entity
38114278,HAPPI MIND smartphone app,No,[],"HAPPI MIND participants receive the brief intervention as well as six individualised dementia risk reduction sessions with a nurse trained in motivational interviewing and principles of behaviour change, a personalised risk reduction action plan and access to the purpose-built HAPPI MIND smartphone app for risk factor self-management.",Not related to Food factor
38114278,education booklet,No,['Undefined'],"Brief intervention participants receive a personalised report outlining their risk factors for dementia based on Australian National University Alzheimer's Disease Risk Index (ANU-ADRI) scores, education booklet and referral to their general practitioner as appropriate.",Not related to food or dietary factors
37534741,food insecurities,Yes,['food_insecurity'],"To develop a natural language processing (NLP) algorithm that identifies social determinants of health (SDoH), including housing, transportation, food, and medication insecurities, social isolation, abuse, neglect, or exploitation, and financial difficulties for patients with Alzheimer's disease and related dementias (ADRD) from unstructured electronic health records (EHRs).",Entity related to limited access to adequate food.
37303116,lifestyle factors,No,[],"We developed Aβ prediction models in the clinical Anti-Amyloid Treatment in Asymptomatic Alzheimer's (A4) Study (n = 4,119) including a broad range of easily ascertainable predictors (demographics, cognition and daily functioning, health and lifestyle factors).",Not a food-related factor
37303116,walking duration,No,['Undefined'],"The best performing model in the A4 Study (area under the curve [AUC] = 0.73 [0.69-0.76]), including age, apolipoprotein E (APOE) ε4 genotype, family history of dementia, and subjective and objective measures of cognition, walking duration and sleep behavior, was validated in the independent Rotterdam Study with higher accuracy (AUC = 0.85 [0.81-0.89]).",Not related to Food factor
37246509,nutritional status,Yes,['diet'],"Compared to the well-nourished, those at risk for malnourishment and those malnourished had higher total NPI scores [<i>b</i> (95% CI) = 1.76 (0.04, 3.48) or 3.20 (0.62, 5.78), respectively], controlling for significant covariates.",Nutritional status relates to dietary intake and pattern.
37246509,malnourishment,Yes,['food_insecurity'],"Compared to the well-nourished, those at risk for malnourishment and those malnourished had higher total NPI scores [<i>b</i> (95% CI) = 1.76 (0.04, 3.48) or 3.20 (0.62, 5.78), respectively], controlling for significant covariates.",Malnourishment indicates inadequate access to necessary nutrients.
37246509,Mini-Nutritional Assessment,No,[],"We used a modified Mini-Nutritional Assessment (mMNA) and the Neuropsychiatric Inventory (NPI) to evaluate nutritional status and NPS, respectively.","Tool to evaluate nutritional status, not a food factor"
37471695,abnormal eating behavior,No,[],Patients with right-lateralized atrophy were characterized by higher severity of abnormal eating behavior and hallucinations compared to those with left-lateralized atrophy.,"Entity is related to a symptom, not a food factor."
39625262,LIBRA score,No,[],Ten modifiable risk factors for dementia were combined in the 'LIfestyle for BRAin health' (LIBRA) score.,Not a food-related entity
39625262,LIBRA score,No,['Undefined'],"In total, 10.4% of the dementia risk was mediated by differences in LIBRA score",LIBRA score is not a food-related entity
37357229,dietary habits,Yes,['diet'],"On comparing dietary habits in AD cases against controls, the results were as follows: individuals with generally fatty diet 26.58% vs 11.25%, with mixed diet 36.70% vs 78.75%, with generally vegetarian diet 34.17% vs 10.00%, data not available 2.53% among AD cases.",Describes the type of diet consumed by individuals.
37357229,generally fatty diet,Yes,['diet'],"On comparing dietary habits in AD cases against controls, the results were as follows: individuals with generally fatty diet 26.58% vs 11.25%, with mixed diet 36.70% vs 78.75%, with generally vegetarian diet 34.17% vs 10.00%, data not available 2.53% among AD cases.",The entity refers to a type of diet consumed.
37357229,mixed diet,Yes,['diet'],"On comparing dietary habits in AD cases against controls, the results were as follows: individuals with generally fatty diet 26.58% vs 11.25%, with mixed diet 36.70% vs 78.75%, with generally vegetarian diet 34.17% vs 10.00%, data not available 2.53% among AD cases.",Describes a type of dietary habit associated with AD cases.
37357229,generally vegetarian diet,Yes,['diet'],"On comparing dietary habits in AD cases against controls, the results were as follows: individuals with generally fatty diet 26.58% vs 11.25%, with mixed diet 36.70% vs 78.75%, with generally vegetarian diet 34.17% vs 10.00%, data not available 2.53% among AD cases.",The entity refers to a specific dietary pattern.
37681845,dietary practices,Yes,['diet'],The objective of this study is to identify and understand knowledge and attitudes that influence dietary practices among older Black adults using a community-engaged approach.,Relates to regular food consumption patterns.
37681845,brain-healthy soul food diet,Yes,['diet'],This is a non-interventional mixed methods study designed to inform the development of an adapted brain-healthy soul food diet intervention.,Refers to a specific dietary pattern or intervention.
37681845,MIND dietary model,Yes,['diet'],Older Black adults perceived an adapted MIND dietary model as the most acceptable with the incorporation of salient cultural characteristics and strategies within both the design and delivery phases.,Relates to dietary pattern and food choices.
37146892,non-healthy dietary pattern,Yes,['diet'],"In this study, we performed an integrated analysis on the influence of behavioural risks including smoking, excessive alcohol consumption, physical inactivity, and non-healthy dietary pattern on AD with a comprehensive strategy.",Describes a dietary pattern related to AD risk.
