PMID,factor_relevance,entity,category,source_sentence,explanation
40651997,Yes,Social Vulnerability Index,Neighborhood,"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Index measuring community resilience to health threats.
40651997,Yes,Alzheimer's disease and related dementia (ADRD),ADRD,Alzheimer's disease and related dementia (ADRD) are becoming increasingly prevalent and are predicted to affect up to 153 million globally by 2050.,Refers to the disease group being studied.
40651997,Yes,neurodegenerative processes,ADRD,"This pipeline also captures common participant sociodemographic characteristics, clinical features, and environmental context across various weather conditions, as well as the Area Deprivation Index and the Social Vulnerability Index, to comprehensively characterize the multidimensional nature of neurodegenerative processes among older adults.",Refers to the underlying biological processes of ADRD.
40455830,No,,,,
40629265,No,,,,
40693459,No,,,,
40684246,Yes,neighborhood-level deprivation,Neighborhood,We analyzed these diagrams using ecological methods to identify a shared core model and examine variation by neighborhood-level deprivation.,Describes a neighborhood characteristic linked to dementia risk variation.
40684246,Yes,deprived areas,Neighborhood,"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.",Identifies areas with specific characteristics influencing dementia risk factors.
40684246,Yes,neighborhood deprivation,Neighborhood,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Links neighborhood deprivation to dementia risk factors and views.
40684246,Yes,under-resourced neighborhoods,Neighborhood,"Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies (e.g., political engagement, equitable public resource allocation)-to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.",Specifies neighborhood type where dementia risk mitigation is needed.
40684246,Yes,Alzheimer's disease and related dementias (ADRD),ADRD,Alzheimer's disease and related dementias (ADRD) disproportionately affect Black Americans compared to non-Hispanic White individuals.,Identifies the disease group being studied.
40684246,Yes,dementia risk,ADRD,"CBSD revealed a framework for how economic hardship, especially low income and unemployment, reduces access to physical and mental healthcare, driving dementia risk.",Refers to the risk of developing dementia.
40684246,Yes,dementia,ADRD,"Those from more deprived areas highlighted the need for improved health education, public transportation, healthcare access, and job opportunities.",Refers to the disease being studied.
40684246,Yes,dementia risk,ADRD,"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.",Refers to the risk of developing dementia.
40684246,Yes,dementia risk,ADRD,"Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies (e.g., political engagement, equitable public resource allocation)-to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.",Refers to the risk of developing dementia.
40660738,No,,,,
40627435,Yes,neighborhoods of northern Manhattan,Neighborhood,"We conducted in-depth, semi-structured interviews in English or Spanish with 216 Latinos aged 40-60 years (average age 53 years) living in the neighborhoods of northern Manhattan.",Geographic location where the study participants reside.
40627435,Yes,Alzheimer's disease (AD),ADRD,Latinos experience significant health disparities for Alzheimer's disease (AD) with an increased likelihood in developing the disease relative to non-Latino Whites.,Specific type of dementia studied in the paper.
40627435,Yes,Alzheimer's disease (AD),ADRD,Our study sought to examine Latinos' beliefs about controlling the symptoms and progression of AD to identify gaps in community knowledge and improve understanding of culturally based perceptions of health and illness.,Specific type of dementia studied in the paper.
40627435,Yes,Alzheimer's disease (AD),ADRD,"Most participants viewed medications as important in the management of AD, though they had limited specific knowledge about existing medications for AD.",Specific type of dementia studied in the paper.
40627435,Yes,Alzheimer's disease (AD),ADRD,A few suggested that a healthy diet and exercise could help slow the progression of AD.,Specific type of dementia studied in the paper.
40627435,Yes,Alzheimer's disease (AD),ADRD,Some participants believed that emotional wellness and degree of support influenced AD progression.,Specific type of dementia studied in the paper.
40627435,Yes,Alzheimer's disease (AD),ADRD,Limited knowledge of available medications and evidence-based non-medical approaches to control AD may adversely impact help-seeking behavior and use of effective management strategies among those with AD.,Specific type of dementia studied in the paper.
40627435,Yes,Alzheimer's disease (AD),ADRD,Future interventions should strive to expand knowledge about ways to effectively manage and treat AD in Latino communities.,Specific type of dementia studied in the paper.
40621962,No,,,,
40597399,No,,,,
40518812,No,,,,
40451134,No,,,,
40443135,No,,,,
40403677,No,dementia/Alzheimer's disease,ADRD,"Patients diagnosed with schizophrenia (p = 0.034), bipolar disorder (p = 0.016), depression (p = 0.008), obsessive-compulsive disorder (p = 0.015) and dementia/Alzheimer's disease (p = 0.003) were more likely to be compliant with treatments whereas patients affected by stress or post-traumatic stress disorder were significantly less complaint (p = 0.015 and p = 0.006, respectively).",Identifies a specific ADRD condition mentioned in the study.
40397128,No,,,,
40325979,No,,,,
40294330,No,,,,
40288270,No,,,,
39968751,Yes,district of residence,Neighborhood,"Predictive variables were age, sex, education, marital status, type of district of residence, caregiving hours per week, relationship to the person with dementia, care burden, and the Relative Stress Scale.",Type of residence is a neighborhood characteristic.
39968751,Yes,urban districts,Neighborhood,"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Urban location is a neighborhood characteristic.
39968751,Yes,rural districts,Neighborhood,"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Rural location is a neighborhood characteristic.
39968751,Yes,dementia caregivers,ADRD,"This study investigated the associations between dementia caregivers' self-perceptions of aging (SPAs) and demographic, care related, and stress variables.",Caregivers of individuals with dementia.
39968751,Yes,dementia caregivers,ADRD,Cross-sectional (2021) data collected online and from the German Aging Study comprising 190 dementia caregivers (Mean age= 65.69 years; SD= 10.11) were used.,Caregivers of individuals with dementia.
39968751,Yes,dementia caregivers,ADRD,"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Caregivers of individuals with dementia.
39550616,No,,,,
37647340,No,,,,
40587504,No,,,,
40515617,No,,,,
40332047,No,,,,
39969227,Yes,neighborhood deprivation,Neighborhood,"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",Neighborhood deprivation is a socioeconomic factor linked to ADRD.
39969227,Yes,area deprivation index (ADI),Neighborhood,"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",ADI measures neighborhood socioeconomic disadvantage related to ADRD.
39969227,Yes,ADI of trip destinations,Neighborhood,"Among 292 participants (n = 2,792 observations), including ADI of trip destinations, participants' home ADI, and frequency of trips to the same ADI led to a slight but notable improvement in predicting preclinical AD.",ADI of destinations is a neighborhood factor predicting ADRD.
39969227,Yes,home ADI,Neighborhood,"Among 292 participants (n = 2,792 observations), including ADI of trip destinations, participants' home ADI, and frequency of trips to the same ADI led to a slight but notable improvement in predicting preclinical AD.",Home ADI is a neighborhood factor predicting ADRD.
39969227,Yes,preclinical AD,ADRD,"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",Preclinical AD is the specific ADRD condition studied.
39969227,Yes,preclinical AD,ADRD,"Among 292 participants (n = 2,792 observations), including ADI of trip destinations, participants' home ADI, and frequency of trips to the same ADI led to a slight but notable improvement in predicting preclinical AD.",Preclinical AD is the specific ADRD condition studied.
40466093,No,,,,
40457220,Yes,residence location,Neighborhood,"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Residence location is a key factor influencing MCI risk.
40457220,Yes,MCI,ADRD,"Mild Cognitive Impairment (MCI) is a critical transitional stage between normal aging and Alzheimer's disease, and its early identification is essential for delaying disease progression.",MCI is a transitional stage to Alzheimer's disease.
40457220,Yes,MCI,ADRD,"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",MCI risk is influenced by residence location.
40456118,No,,,,
40545557,No,,,,
40524437,Yes,walkability,Neighborhood,"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Walkability is a neighborhood characteristic influencing cognitive function.
40524437,Yes,green space,Neighborhood,"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Green space availability is a neighborhood feature linked to cognition.
40524437,Yes,tree canopy,Neighborhood,"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Tree canopy is a neighborhood environmental factor affecting cognition.
40524437,Yes,light pollution,Neighborhood,"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Light pollution is an environmental exposure impacting cognitive function.
40524437,Yes,cognitive functioning,ADRD,"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Cognitive functioning is a key aspect of ADRD.
40524437,Yes,preclinical AD,ADRD,"Cross-sectional analysis examined associations between walkability, green space, tree canopy, light pollution, and cognitive functioning among participants with and without preclinical AD based on cerebrospinal fluid (CSF) and/or positron emission tomography (PET) biomarkers.",Preclinical AD is an early stage of Alzheimer's disease.
40524437,Yes,cognitive performance,ADRD,"Generalized additive mixed models (GAMMs) assessed their impact on cognitive performance, controlling for sex and race as categorical covariates, with age and education included as continuous variables modeled using smooth functions.",Cognitive performance is a measure related to ADRD.
40524437,Yes,cognition,ADRD,"Walkability, green space, and tree canopy were significantly associated with better cognitive performance, while light pollution negatively impacted cognition.",Cognition is directly related to Alzheimer's disease.
40432270,No,,,,
40340427,No,,,,
40320775,No,,,,
40298273,No,,,,
40267299,No,,,,
40261356,No,,,,
40261292,No,,,,
40249666,No,,,,
40107929,No,,,,
40082178,No,Alzheimer's disease,ADRD,"Alzheimer's disease (AD) is a neurodegenerative disorder characterised by amyloid-β (Aβ), tau hyperphosphorylation and neurodegeneration.",Identifies the disease being studied.
40082178,No,social isolation,Neighborhood,"This review depicts the relationships between modifiable lifestyle factors (nutrition, physical activity (PA), sleep, alcohol consumption, smoking, and social isolation) and plasma biomarkers of AD: Aβ42, Aβ40, Aβ42/40, phosphorylated tau, total tau, neurofilament light chain (NfL) and glial fibrillary acidic protein.",Social isolation is a social context factor.
40072737,No,,,,
39949308,No,,,,
39922446,No,,,,
39720972,No,,,,
39589019,No,,,,
39562850,No,,,,
38668780,No,,,,
40262071,No,,,,
40705698,No,Alzheimer's dementia,ADRD,The algorithm proposed here was designed to sub-serve a separate study that uses TOFF and TFD to differentiate apathy from depression in those suffering from Alzheimer's dementia.,"Mentions a specific type of dementia, Alzheimer's dementia."
40415129,No,,,,
40413042,No,,,,
40469616,No,,,,
40203665,No,,,,
40209131,No,,,,
40203226,No,,,,
40431348,No,,,,
40324770,No,,,,
40442881,No,,,,
40407095,No,,,,
40404275,No,,,,
40371732,No,,,,
40357887,No,,,,
40331508,No,,,,
40304268,No,,,,
40245823,No,,,,
40232259,No,,,,
40116688,No,,,,
40084665,No,,,,
40055039,No,,,,
39878054,No,,,,
39786627,No,,,,
39630270,No,,,,
39547823,No,,,,
39477251,No,,,,
39349155,No,,,,
39180168,No,,,,
40305830,No,,,,
40294408,No,,,,
38916196,No,Alzheimer's Disease,ADRD,"This project aims to determine the known-group discriminant validity of a cultural and linguistic adaptation of the mini-SEA between cognitively healthy people, those with mild cognitive impairment (MCI) or living with Alzheimer's Disease (AD).",Identifies a specific type of dementia (Alzheimer's Disease).
38916196,No,mild cognitive impairment,ADRD,"This project aims to determine the known-group discriminant validity of a cultural and linguistic adaptation of the mini-SEA between cognitively healthy people, those with mild cognitive impairment (MCI) or living with Alzheimer's Disease (AD).",Represents a cognitive decline often preceding dementia.
40264239,No,,,,
40163795,No,,,,
40138617,Yes,Social Vulnerability index (SVI),Neighborhood,The primary study objective was to examine the association between Social Vulnerability index (SVI) and risk of incident Alzheimer disease (AD) and rate of cognitive decline.,SVI represents a measure of neighborhood social and economic factors.
40138617,Yes,census tracts,Neighborhood,"Participants were recruited through door visits, were at least 65 years of age at enrollment, and lived in one of 4 Chicago communities representing 24 US census tracts.",Census tracts define geographic areas within a neighborhood.
40138617,Yes,tracts,Neighborhood,The association of SVI with clinically diagnosed incident AD was examined using a logistic regression model and global cognitive decline using a linear mixed-effects model.,Tracts are specific geographic areas within the neighborhood studied.
40138617,Yes,tracts,Neighborhood,"Over 90% of Black participants were in tracts above 50% or higher SVI, and approximately 87% of White participants were in tracts with SVI 50% or less.",Tracts represent specific geographic locations with varying SVI.
40138617,Yes,tracts,Neighborhood,"Participants in tracts with SVI above 50th to 75th percentiles had OR = 2.23 (95% CI 1.23-4.05) for clinical AD, and participants in tracts greater than the 75th percentile had OR = 2.04 (95% CI 1.03-4.04).",Tracts are geographic areas linked to AD risk via SVI.
40138617,Yes,tracts,Neighborhood,Participants in more vulnerable tracts had greater incident AD risk than participants in less vulnerable tracts.,Tracts are geographic areas associated with AD risk.
40138617,Yes,SVI percentile,Neighborhood,The annual rate of global cognitive decline was 0.055 SD units (SDU) for participants below the 25th SVI percentile.,SVI percentile indicates neighborhood vulnerability level related to decline.
40138617,Yes,SVI percentile,Neighborhood,"The annual rate of global cognitive decline was faster by 0.010 SDU (approximately 18% faster, <i>p</i> = 0.025) in those above the 50th-75th percentile and by 0.014 SDU (approximately 25% faster, <i>p</i> = 0.005) in participants above the 75th percentile than in participants below the 25th SVI percentile.",SVI percentile is linked to the rate of cognitive decline.
40138617,Yes,areas,Neighborhood,"Most Black participants who lived in areas with higher SVI that had over twice the risk of incident AD than most White participants who lived in areas with lower SVI, showing a higher social burden in Black older adults.",Areas represent geographic locations with varying SVI and AD risk.
40138617,Yes,Alzheimer disease (AD),ADRD,The primary study objective was to examine the association between Social Vulnerability index (SVI) and risk of incident Alzheimer disease (AD) and rate of cognitive decline.,AD is the specific dementia outcome studied.
40138617,Yes,clinical AD,ADRD,"Participants in tracts with SVI above 50th to 75th percentiles had OR = 2.23 (95% CI 1.23-4.05) for clinical AD, and participants in tracts greater than the 75th percentile had OR = 2.04 (95% CI 1.03-4.04).",Clinical AD is the specific dementia outcome measured.
40138617,Yes,incident AD risk,ADRD,Participants in more vulnerable tracts had greater incident AD risk than participants in less vulnerable tracts.,Incident AD risk is the outcome associated with neighborhood.
40138617,Yes,cognitive decline,ADRD,The annual rate of global cognitive decline was 0.055 SD units (SDU) for participants below the 25th SVI percentile.,Cognitive decline is an outcome related to ADRD.
40138617,Yes,incident AD,ADRD,There was no statistically significant race difference in incident AD after adjusting for SVI.,Incident AD is the outcome studied in relation to SVI.
40138617,Yes,AD,ADRD,SVI should be accounted for when examining race differences in AD.,AD is the dementia outcome mentioned.
40313499,No,,,,
40250879,No,,,,
40217501,No,,,,
40200452,No,,,,
40244274,No,,,,
40346835,No,,,,
40277074,No,,,,
40249614,No,,,,
40207435,No,social isolation,Neighborhood,Alzheimer's disease and related dementias (ADRD) is exacerbated by social isolation.,Social isolation is a social-environmental neighborhood factor.
40207435,No,socialization,Neighborhood,One potential intervention for improving the health outcomes of individuals with ADRD is by providing opportunities for socialization that are highly engaging.,Socialization relates to social and community context.
40207435,No,social engagement,Neighborhood,"To identify strategies for enhancing social engagement, we studied recorded virtual group sessions of older adults aged ≥ 65, with mild to moderate ADRD who interacted with younger adult facilitators.",Social engagement is a social and community context factor.
40207435,No,social groups,Neighborhood,These results inform strategies for designing group settings which maximize engagement by using the synergistic influence of whole social groups on individuals.,Social groups are part of the social context.
40207435,No,social contact,Neighborhood,Virtual socialization can help mitigate lack of opportunity for social contact.,Social contact is a social and community context factor.
40207435,No,Alzheimer's disease and related dementias (ADRD),ADRD,Alzheimer's disease and related dementias (ADRD) is exacerbated by social isolation.,This is the disease outcome being studied.
40207435,No,individuals with ADRD,ADRD,One potential intervention for improving the health outcomes of individuals with ADRD is by providing opportunities for socialization that are highly engaging.,This refers to the population with ADRD.
40207435,No,"older adults aged ≥ 65, with mild to moderate ADRD",ADRD,"To identify strategies for enhancing social engagement, we studied recorded virtual group sessions of older adults aged ≥ 65, with mild to moderate ADRD who interacted with younger adult facilitators.",This specifies the population with ADRD.
40189848,No,,,,
40189829,Yes,neighborhood disadvantage,Neighborhood,We investigated the association of neighborhood disadvantage with the incidence of Alzheimer's disease and related dementias (ADRD) in the longitudinal Black Women's Health Study (BWHS).,Describes the neighborhood condition linked to ADRD incidence.
40189829,Yes,Alzheimer's disease and related dementias (ADRD),ADRD,We investigated the association of neighborhood disadvantage with the incidence of Alzheimer's disease and related dementias (ADRD) in the longitudinal Black Women's Health Study (BWHS).,The specific health outcome being studied in relation to neighborhood.
40189829,Yes,Area Deprivation Index (ADI),Neighborhood,The Area Deprivation Index (ADI) was assigned to participant residential block groups over follow-up.,Specific measure used to quantify neighborhood disadvantage.
40189829,Yes,neighborhood disadvantage,Neighborhood,"Age- and education-adjusted hazard ratios (HRs) for ADRD increased as neighborhood disadvantage increased, to 1.42 (95% confidence interval [CI] 1.06-1.91) in the most disadvantaged quintile compared to the least disadvantaged quintile, with a significant linear trend (p = 0.012).",Quantified neighborhood factor associated with increased ADRD risk.
40189829,Yes,ADRD,ADRD,"Age- and education-adjusted hazard ratios (HRs) for ADRD increased as neighborhood disadvantage increased, to 1.42 (95% confidence interval [CI] 1.06-1.91) in the most disadvantaged quintile compared to the least disadvantaged quintile, with a significant linear trend (p = 0.012).",The health outcome showing increased risk with neighborhood disadvantage.
40189829,Yes,disadvantaged neighborhood,Neighborhood,The present study adds to the evidence showing an association between living in a disadvantaged neighborhood and poorer brain health.,Neighborhood condition linked to poorer brain health/ADRD.
40189829,Yes,ADRD,ADRD,The area-level association of deprivation with ADRD was in part explained by individual differences in socioeconomic status (SES).,The health outcome associated with area-level deprivation.
40189829,Yes,area deprivation,Neighborhood,Higher levels of area deprivation were associated with higher dementia risk.,Neighborhood factor associated with higher dementia risk.
40148225,No,dementia,ADRD,"People with dementia often have various unmet care needs across physical, psychological, environmental, and social domains.",Refers to the condition studied in the abstract.
40148225,No,people living with dementia,ADRD,"The aim of this paper was to describe the domains of unmet and met needs among community-dwelling people living with dementia, focusing on the home environment, physical, psychological, and social areas, and to identify sociodemographic, clinical, and health-related parameters associated with unmet needs.",Identifies the population group affected by dementia.
40148225,No,people with dementia,ADRD,We analyzed the InDePendent trial's baseline data of N = 417 people with dementia.,Specifies the study participants with dementia.
40148225,No,dementia,ADRD,"People with dementia were on average 80.6 years old, mostly female (56%) and mildly to moderately cognitively impaired (85%).",Describes characteristics of the dementia population.
40148225,No,unmet needs,ADRD,"98.6% of the participants had at least one need, of which just over a third (36.5%) were rated as met and just under two-thirds (63.5%) as unmet.",Relates to the care requirements of people with dementia.
40148225,No,unmet needs,ADRD,Lacking a care grade (access to social care) and low education were found to be risk factors for the occurrence of unmet needs in almost all areas.,Identifies factors associated with dementia care needs.
40148225,No,unmet environmental needs,ADRD,Factors such as increased medication use (OR = 1.10 [95%CI 1.02 to 1.19]) and loneliness (OR = 2.51 [95%CI 1.44 to 4.36]) were associated with a higher likelihood of unmet environmental needs.,Specifies a type of need experienced by dementia patients.
40148225,No,unmet physical needs,ADRD,"Similarly, the absence of a caregiver (OR = 2.81 [95%CI 1.03 to 7.64]), lower social support (OR = 1.71 [95%CI 1.02 to 2.84]), and poor physical health (OR = 8.40 [95%CI 3.39 to 20.81]) correlated with unmet physical needs.",Identifies a specific need related to dementia patients.
40148225,No,unmet physical needs,ADRD,Participants living alone demonstrated higher levels of unmet physical needs (β = 0.27 [95%CI 0.01 to 0.53]).,Links living situation to dementia-related physical needs.
40148225,No,unmet psychological needs,ADRD,"Depression (OR = 2.13 [95%CI 1.10 to 4.08]), living alone (OR = 1.73 [95%CI 1.04 to 2.86]) and poor physical health (OR = 2.82 [95%CI 1.15 to 6.93]) significantly increased the risk of unmet psychological needs.",Specifies a type of need associated with dementia.
40148225,No,social needs,ADRD,Social needs are more likely to be unmet in females (OR = 1.88 [95%CI 1.05 to 3.37]).,Identifies a specific need related to dementia patients.
40148225,No,people with dementia,ADRD,Both areas must be given equal consideration to improve the living and care situation of people with dementia sustainably.,Refers to the population group affected by dementia.
40072379,No,,,,
40025716,No,,,,
40019132,No,,,,
40007109,No,,,,
39916679,No,,,,
39889875,Yes,Neighbourhood greenness,Neighborhood,Neighbourhood greenness was associated with a lower risk of all-cause dementia.,Greenness is a physical environmental characteristic of a neighborhood.
39889875,Yes,chronic noise,Neighborhood,"Neighbourhood (i.e., greenness and chronic noise) and occupational (i.e., shift work) characteristics are associated with dementia and are viable public health intervention points.",Chronic noise is a social-environmental neighborhood characteristic.
39889875,Yes,all-cause dementia,ADRD,Neighbourhood greenness was associated with a lower risk of all-cause dementia.,All-cause dementia is a type of ADRD.
39889875,Yes,dementia,ADRD,"Neighbourhood (i.e., greenness and chronic noise) and occupational (i.e., shift work) characteristics are associated with dementia and are viable public health intervention points.",Dementia is a general term for ADRD.
39824702,No,,,,
39709278,No,,,,
39571734,No,,,,
39558706,No,,,,
39494682,No,,,,
39390793,No,,,,
39367595,No,,,,
39244503,No,,,,
38273182,No,,,,
40283750,No,,,,
39878947,No,,,,
40108701,No,,,,
40074931,No,,,,
40065204,No,,,,
40045223,No,,,,
40042844,No,,,,
40156267,No,,,,
40123183,No,,,,
40110699,Yes,Neighborhood disadvantage,Neighborhood,"Neighborhood disadvantage was associated with worse cognitive performance on memory, executive function, processing speed, and preclinical Alzheimer's tests on both datasets.",Describes a specific neighborhood characteristic linked to ADRD.
40110699,Yes,Area Deprivation Index (ADI),Neighborhood,Neighborhood disadvantage was obtained using Area Deprivation Index (ADI) and its association with cognitive performance and MSN features was analyzed using linear regression and mediation analysis.,Specific index measuring neighborhood disadvantage related to ADRD.
40110699,Yes,preclinical Alzheimer's tests,ADRD,"Neighborhood disadvantage was associated with worse cognitive performance on memory, executive function, processing speed, and preclinical Alzheimer's tests on both datasets.",Refers to tests assessing early stages of Alzheimer's disease.
40110699,Yes,preclinical Alzheimer's composite test,ADRD,"In this exploratory study, using morphological brain networks that indicate similarity in distribution of cortical thickness between regions, we observed that centrality of predominantly frontal and temporal regions was marginally linked with neighborhood disadvantage status and also partially mediated its association with preclinical Alzheimer's composite test.",Composite measure related to early Alzheimer's disease stages.
40110699,Yes,cognitive impairment,ADRD,There is a potential role for considering neighborhood status in early screening of cognitive impairment and dementia.,Refers to a decline in cognitive function related to ADRD.
40110699,Yes,dementia,ADRD,There is a potential role for considering neighborhood status in early screening of cognitive impairment and dementia.,General term for a group of ADRD conditions.
40110684,No,,,,
40096973,No,,,,
40086910,No,,,,
40044393,No,,,,
40042433,No,,,,
40026013,No,,,,
40015756,No,,,,
40015754,No,,,,
39961183,Yes,air pollution,Neighborhood,"Hearing loss, high Low-Density Lipoprotein cholesterol, and air pollution were significantly underrepresented.",Air pollution is an environmental factor within the neighborhood.
