PMID,entity_name,factor_relevance,factor_class,source_sentence,explanation
40684246,under-resourced neighborhoods,Yes,"['socioenvironmental_neighborhood', 'geographic_location']","Participants outlined multi-level interventions-ranging from grassroots community programs (e.g., health literacy campaigns, community wellness initiatives) to policy-focused strategies (e.g., political engagement, equitable public resource allocation)-to counteract the self-perpetuating cycle of disadvantage and mitigate dementia risk in under-resourced neighborhoods.",Describes disadvantaged areas affecting dementia risk.
40684246,Area Deprivation Index [ADI],Yes,['geographic_location'],"Workshop groups from areas with higher neighborhood deprivation (as measured by the Area Deprivation Index [ADI]) were more likely to emphasize stress, poor diet, and limited healthcare access-underscoring the critical influence of socioeconomic disadvantage on both lived experiences and views of dementia risk.","Measures neighborhood deprivation, a geographic factor."
40627435,neighborhoods of northern Manhattan,Yes,['geographic_location'],"We conducted in-depth, semi-structured interviews in English or Spanish with 216 Latinos aged 40-60 years (average age 53 years) living in the neighborhoods of northern Manhattan.",Specific geographic area where participants reside.
40627435,healthy diet and exercise,Yes,['physical_environment'],A few suggested that a healthy diet and exercise could help slow the progression of AD.,Relates to physical environment through lifestyle factors.
40627435,emotional wellness and degree of support,No,['Undefined'],Some participants believed that emotional wellness and degree of support influenced AD progression.,"Entity is related to individual factors, not neighborhood factors."
39968751,type of district of residence,Yes,['geographic_location'],"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Refers to the geographic area of residence.
39968751,urban districts,Yes,['geographic_location'],"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Urban districts relate to geographic location of residence.
39968751,rural districts,Yes,['geographic_location'],"Multivariable and multivariate linear regression models showed that those dementia caregivers who are older, have lower education, experience higher levels of caregiving-related burden and stress, and live in urban compared to rural districts, experience more negative SPAs compared to dementia caregivers without these characteristics.",Refers to the type of district of residence.
39969227,neighborhood deprivation,Yes,['socioenvironmental_neighborhood'],"Our findings underscore the importance of incorporating socioeconomic and environmental variables, such as neighborhood deprivation, in predicting preclinical AD.",Neighborhood deprivation is a socioenvironmental factor influencing health.
39969227,area deprivation index (ADI),Yes,['socioenvironmental_neighborhood'],"This study classified preclinical Alzheimer's disease (AD) using cognitive screening, neighborhood deprivation via the area deprivation index (ADI), and sociodemographic and genetic risk factors.",Measures neighborhood socioeconomic deprivation and disadvantage.
40457220,residence location,Yes,['geographic_location'],"The results indicated that residence location, alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Residence location is related to neighborhood factors.
40524437,walkability,Yes,['physical_environment'],"Walkability, green space, and tree canopy were significantly associated with better cognitive performance, while light pollution negatively impacted cognition.",Relates to built surroundings affecting health.
40524437,green space,Yes,['physical_environment'],"Walkability, green space, and tree canopy were significantly associated with better cognitive performance, while light pollution negatively impacted cognition.",Green space is a natural surrounding affecting health.
40524437,tree canopy,Yes,['physical_environment'],"Walkability, green space, and tree canopy were significantly associated with better cognitive performance, while light pollution negatively impacted cognition.",Tree canopy is a natural environmental factor.
40524437,light pollution,Yes,['physical_environment'],"Walkability, green space, and tree canopy were significantly associated with better cognitive performance, while light pollution negatively impacted cognition.",Light pollution is an environmental exposure factor.
40432270,multicultural context,Yes,['socioenvironmental_neighborhood'],"This project aims to improve dementia knowledge, attitudes and supportive practices in a multicultural context.",Relates to social conditions influencing health equity.
40432270,South Western Sydney,Yes,['geographic_location'],"This project will be conducted in South Western Sydney, Australia, where Arabic, Cantonese, English, Greek, Mandarin and Vietnamese are the most common languages spoken.",Refers to a specific geographic region in Australia.
40320775,dancing,No,['Undefined'],"BackgroundDancing may be protective for cognitive health among adults with mild cognitive impairment, Alzheimer's disease or dementia;","Entity is related to activity, not neighborhood factor."
40407095,transportation security,Yes,['socioenvironmental_neighborhood'],"This article offers rationale, empirical support, and guidance for using the selected constructs: transportation security, financial security, social connectedness, health care experiences, and discrimination, as well as recommendations for next steps that each ADRC can take to maximize local and field-level progress.",Relates to social determinants affecting health equity
40407095,social connectedness,No,['Undefined'],"UDS SDOH include transportation, socioeconomic status, social relationships, health care, and discrimination.",Not directly related to Neighborhood factors
40407095,discrimination,Yes,['socioenvironmental_neighborhood'],"UDS SDOH include transportation, socioeconomic status, social relationships, health care, and discrimination.",Relates to social conditions influencing health equity.
40138617,Social Vulnerability index,Yes,['socioenvironmental_neighborhood'],"Participants in tracts with SVI above 50th to 75th percentiles had OR = 2.23 (95% CI 1.23-4.05) for clinical AD, and participants in tracts greater than the 75th percentile had OR = 2.04 (95% CI 1.03-4.04).","SVI measures social vulnerability, a neighborhood socioenvironmental factor."
40138617,census tracts,Yes,['geographic_location'],"Participants were recruited through door visits, were at least 65 years of age at enrollment, and lived in one of 4 Chicago communities representing 24 US census tracts.",Census tracts define geographic areas where participants reside.
40189829,Neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"Age- and education-adjusted hazard ratios (HRs) for ADRD increased as neighborhood disadvantage increased, to 1.42 (95% confidence interval [CI] 1.06-1.91) in the most disadvantaged quintile compared to the least disadvantaged quintile, with a significant linear trend (p = 0.012).",Neighborhood disadvantage reflects social and environmental conditions.
40189829,Area Deprivation Index (ADI),Yes,['socioenvironmental_neighborhood'],The Area Deprivation Index (ADI) was assigned to participant residential block groups over follow-up.,Measures neighborhood socioeconomic disadvantage
40189829,Neighborhood deprivation,Yes,['socioenvironmental_neighborhood'],The present study adds to the evidence showing an association between living in a disadvantaged neighborhood and poorer brain health.,Neighborhood deprivation is a socioenvironmental factor.
40189829,Area deprivation,Yes,['socioenvironmental_neighborhood'],Higher levels of area deprivation were associated with higher dementia risk.,Neighborhood deprivation affects social determinants of health.
40148225,home environment,Yes,['physical_environment'],"The aim of this paper was to describe the domains of unmet and met needs among community-dwelling people living with dementia, focusing on the home environment, physical, psychological, and social areas, and to identify sociodemographic, clinical, and health-related parameters associated with unmet needs.",Home environment affects physical and mental well-being.
40148225,living alone,Yes,['socioenvironmental_neighborhood'],Participants living alone demonstrated higher levels of unmet physical needs (β = 0.27 [95%CI 0.01 to 0.53]).,Living alone affects social support and environment.
40148225,loneliness,No,['Undefined'],Factors such as increased medication use (OR = 1.10 [95%CI 1.02 to 1.19]) and loneliness (OR = 2.51 [95%CI 1.44 to 4.36]) were associated with a higher likelihood of unmet environmental needs.,Loneliness is not a neighborhood factor.
40148225,social support,Yes,['socioenvironmental_neighborhood'],"Similarly, the absence of a caregiver (OR = 2.81 [95%CI 1.03 to 7.64]), lower social support (OR = 1.71 [95%CI 1.02 to 2.84]), and poor physical health (OR = 8.40 [95%CI 3.39 to 20.81]) correlated with unmet physical needs.",Social support affects health equity and access.
39889875,Neighbourhood greenness,Yes,['physical_environment'],Neighbourhood greenness was associated with a lower risk of all-cause dementia.,Relates to natural surroundings affecting health.
39889875,chronic noise,Yes,"['socioenvironmental_neighborhood', 'physical_environment']","Neighbourhood (i.e., greenness and chronic noise) and occupational (i.e., shift work) characteristics are associated with dementia and are viable public health intervention points.",Chronic noise is related to neighborhood characteristics.
39889875,chronic noise,Yes,['physical_environment'],"We found that fine particulate matter, extremely-low frequency magnetic fields, sulfur dioxide, chronic noise, and pesticides were related to Alzheimer's disease dementia.",Chronic noise is an environmental risk factor.
39889875,chronic noise,Yes,['physical_environment'],"Fine particulate matter, particulate matter, and chronic noise were related to vascular dementia.",Chronic noise is an environmental risk factor.
39494682,culture,Yes,['socioenvironmental_neighborhood'],"Korean-American primary family caregivers of individuals with Alzheimer's disease and related dementias (ADRD) may face unique stress, attributable to the distinctive characteristics of Korean-Americans, including their immigration history, culture, and language.",Cultural context influences caregiver stress and social connections.
39494682,United States,Yes,['geographic_location'],maintaining a Korean identity while living in the United States limited caregivers' social connections.,Country of residence affects social connections.
40065204,access to dementia care services,No,[],"Factors such as non-compliance, lack of awareness, and poor care coordination contribute to this issue.","Entity is related to healthcare access, not neighborhood factors."
40065204,care coordination,No,[],Organizational barriers involved poor care coordination and unclear access procedures.,Not related to Neighborhood factor
40065204,accessibility of support services,Yes,['problems_related_to_physical_environment'],Logistical barriers included limited availability and accessibility of support services.,Limited accessibility is a physical environment issue.
40045223,Sweden,Yes,['geographic_location'],"Data on background characteristics, the missing incidents, and police response was collected from a nationwide police registry.",Country where the study was conducted
40045223,cold season,Yes,['physical_environment'],"Male sex, no prior missing incidents, cold season, time since last contact, delayed reporting, and prolonged duration of police search effort were significantly associated with an increased probability of harm.",Cold season affects environment and potentially health outcomes.
40110699,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"Neighborhood disadvantage has been shown to impact health and cognitive outcomes, while morphological similarity network (MSN) can elucidate structural morphological patterns underlying cognitive functions.",Impacts health and cognitive outcomes in neighborhoods.
40110699,Area Deprivation Index (ADI),Yes,['socioenvironmental_neighborhood'],"For cognitively unimpaired participants from the Wisconsin Alzheimer's Disease Research Center or Wisconsin Registry for Alzheimer's Prevention (n = 524), and the Alzheimer's Disease Neuroimaging Initiative (ADNI) cohort (n = 100), neighborhood disadvantage was obtained using Area Deprivation Index (ADI) and its association with cognitive performance and MSN features was analyzed using linear regression and mediation analysis.",Measures neighborhood socioeconomic disadvantage and its impact.
40110699,neighborhood status,Yes,['socioenvironmental_neighborhood'],There is a potential role for considering neighborhood status in early screening of cognitive impairment and dementia.,Neighborhood status is a socioenvironmental factor influencing health.
39961183,air pollution,Yes,['physical_environment'],"Low education, depression, hypertension, and socioeconomic factors were commonly examined whereas hearing loss, high Low-Density Lipoprotein cholesterol, and air pollution were significantly underrepresented.",Air pollution is a physical environmental factor.
39961183,socioeconomic factors,Yes,['socioenvironmental_neighborhood'],"Low education, depression, hypertension, and socioeconomic factors were commonly examined whereas hearing loss, high Low-Density Lipoprotein cholesterol, and air pollution were significantly underrepresented.",Socioeconomic factors influence neighborhood conditions and health equity.
39713874,rural living,Yes,['geographic_location'],"From a large community-based cohort study on the residents in Chongqing, we have identified that mild cognitive impairment (MCI) and dementia share several common risk factors, including age, female gender, rural living, lower education levels, and a medical history of stroke.",Rural living is related to geographic location.
39179761,northern Manhattan,Yes,['geographic_location'],"We conducted in-depth, semi-structured interviews with participants aged 40 to 64 (average age 53 years) living in northern Manhattan.",Refers to a specific geographic area where participants reside.
39179761,environmental contaminants,Yes,['physical_environment'],"Several participants expressed the belief that environmental contaminants can cause AD, which has received little mention in prior studies.",Entity refers to environmental pollutants affecting health.
39804889,built environments,Yes,"['physical_environment', 'socioenvironmental_neighborhood']","Ambient air pollution, detrimental built and social environments, social isolation (SI), low socioeconomic status (SES), and rural (versus urban) residence have been associated with cognitive decline and risk of Alzheimer's disease and related dementias (ADRD).",Built environments impact physical and social surroundings.
39804889,social environments,Yes,['socioenvironmental_neighborhood'],"Ambient air pollution, detrimental built and social environments, social isolation (SI), low socioeconomic status (SES), and rural (versus urban) residence have been associated with cognitive decline and risk of Alzheimer's disease and related dementias (ADRD).",Impacts cognitive decline and ADRD risk.
39804889,rural residence,Yes,['geographic_location'],"Ambient air pollution, detrimental built and social environments, social isolation (SI), low socioeconomic status (SES), and rural (versus urban) residence have been associated with cognitive decline and risk of Alzheimer's disease and related dementias (ADRD).",Rural residence is a geographic location factor.
39794733,home ownership,Yes,['socioenvironmental_neighborhood'],"Data were collected during each survey cycle on self-reported domains of SDoH, which included eight subscales: employment, family income-to-poverty ratio, food security, education level, health insurance coverage, type of health insurance, home ownership, and marital status.",Home ownership reflects socioeconomic status and neighborhood stability.
39794733,unfavorable SDoH factors,No,['Undefined'],The study found a negative association between the accumulation of unfavorable SDoH factors and cognitive performance.,Not related to Neighborhood factors
39773296,household characteristics,Yes,['socioenvironmental_neighborhood'],"Among these 41 variables, 12 were associated with more than one cognitive domain, and were further identified in all subgroup analyses. And LASSO, rigde, and principal component analysis indicated the robustness of the primary results. Moreover, among these 41 variables, 12 were significantly associated with a longitudinal cognitive decline.",Household characteristics relate to socioenvironmental neighborhood conditions.
39773296,socioeconomic status,Yes,['socioenvironmental_neighborhood'],"Subsequently, our multivariable analyses identified 41 variables that were significantly associated with at least one cognitive function, spanning categories such as education, socioeconomic status, lifestyle factors, body measurements, mental health, medical conditions, early life factors, and household characteristics.",Socioeconomic status relates to social conditions within a community.
39965544,social status,Yes,['socioenvironmental_neighborhood'],"LBD group had lower years of education, income, subjective social status than controls, with larger differences for males than females (p < 0.05 for all).",Relates to social conditions influencing health equity
39965544,living alone,Yes,['socioenvironmental_neighborhood'],Higher percentage of females with LBD was living alone (p = 0.016) and not married/partnered (p = 0.002) compared to males with LBD.,Social condition affecting health and well-being
39965544,ethnoracial minoritized,Yes,['socioenvironmental_neighborhood'],"For the overall cohort, being ethnoracial minoritized, sexual and gender minoritized, and having lower education quality were associated with younger age at symptom onset (p < 0.049 for all).",Linked to social determinants and health disparities
39965544,childhood subjective social status,Yes,['socioenvironmental_neighborhood'],"For females, lower childhood subjective social status (p = 0.037), and for males, being ethnoracial minoritized (p < 0.001) and lower years of education (p = 0.031) were associated with younger age at diagnosis.",Relates to social determinants and socioeconomic status
39654300,white matter hyperintensities,No,[],Both deep and periventricular WMHs volumes were associated with hypertension and the number of microbleeds and lacunae.,"Entity is related to medical condition, not neighborhood factor."
39654300,periventricular WMH volume,No,['Undefined'],"DAT-AC was positively associated with BF volume and negatively associated with anterior periventricular WMH volume, but not with deep WMHs.","Entity is related to medical condition, not neighborhood factor."
39413721,"Chicago, IL",Yes,['geographic_location'],"The present study aimed to explore perspectives on brain health and aging among middle-aged Latinos living in Chicago, IL.",Entity represents a specific geographic location.
39413721,brain health education,Yes,['socioenvironmental_neighborhood'],"Suggestions for disseminating brain health education included media, clinics, churches, libraries, and community centers, with consideration of possible barriers and facilitators to behavior change (e.g., finances, prioritizing family).",Community centers and clinics relate to social environment.
39413721,lifestyle changes,No,[],"Messaging may benefit from utilizing analogies, considering familism and spirituality, and highlighting lifestyle changes that do not carry a financial burden or place blame on individuals.",Not related to Neighborhood factor
39401748,rural areas,Yes,['geographic_location'],A greater proportion of deaths in rural areas occurred in LTC facilities compared with all other locations (P < .001 for all comparisons).,Refers to a physical area or location
39401748,LTC facilities,Yes,['geographic_location'],"From 2009 to 2019, the greatest proportion of deaths occurred in LTC facilities (48.4%).",LTC facilities indicate a specific type of location.
39687720,rehabilitation facilities,Yes,['problems_related_to_physical_environment'],"In areas with provider shortages, this trend poses a risk of disability and caregiver burdens, particularly in racial minorities who under-utilize rehabilitation facilities.",Limited access to rehabilitation facilities affects health outcomes.
39687720,homes with services,Yes,['geographic_location'],"The proportion of individuals receiving PAC declined in rehabilitation facilities, whereas the proportion of individuals receiving PAC at home with services continuously increased.",Refers to a location where care is provided
39687720,areas with provider shortages,Yes,"['geographic_location', 'problems_related_to_physical_environment']","In areas with provider shortages, this trend poses a risk of disability and caregiver burdens, particularly in racial minorities who under-utilize rehabilitation facilities.",Describes a geographic area with healthcare access issues.
39659188,neighborhood disadvantage,Yes,['socioenvironmental_neighborhood'],"We investigated cognitive and sociodemographic characteristics, and neighborhood disadvantage related to these digital attributes.",Neighborhood disadvantage reflects socioenvironmental conditions.
39659188,neighborhood socioeconomic disadvantage,Yes,['socioenvironmental_neighborhood'],Living in more disadvantaged neighborhoods was significantly associated with lower technology skills (OR:0.86; 95% CI:0.82-0.91).,Neighborhood disadvantage affects socioenvironmental conditions and health equity.
39623940,social isolation,No,[],"Addressing modifiable risk factors such as physical inactivity and social isolation could reduce risk of Alzheimer's disease and all-cause dementia, but little is known about which factors individuals are most willing to address or how they prefer to address them.","Entity is a risk factor, not a neighborhood factor."
39620840,MR-visible perivascular spaces,No,[],"MR-visible perivascular spaces are associated with both vascular cognitive impairment and Alzheimer disease, potentially linking cerebrovascular dysfunction to neurodegenerative disorders through its role in brain waste clearance.",Not related to Neighborhood factor
39620840,social determinants of health,Yes,['socioenvironmental_neighborhood'],"The American Heart Association's goal for cardiovascular health promotion, ""Life's Essential 8,"" has been updated to include sleep health and acknowledges psychological well-being and social determinants of health as fundamental components necessary to achieve optimal cardiovascular health for all adults.",Relates to social conditions influencing health equity
39403721,rural areas,Yes,['geographic_location'],"For both racial/ethnic groups, older age and living in rural areas during schooltime increased the likelihood of being in the low-cognition class, whereas more education was associated with a lower likelihood.",Rural areas linked to cognitive decline risk.
39387147,Townsend Deprivation Index,Yes,['socioenvironmental_neighborhood'],SES was assessed using the Townsend Deprivation Index.,"Measures socioeconomic deprivation, a neighborhood factor."
39387147,socioeconomic status (SES),Yes,['socioenvironmental_neighborhood'],The complex associations of socioeconomic status (SES) and lifestyle with dementia are unclear.,SES is related to social determinants and neighborhood conditions.
38994689,assisted living physical environment,Yes,['physical_environment'],The MAC-4-BSD intervention includes the following four steps: (1) Assessment of the assisted living physical environment and policies to facilitate meaningful activity;,Relates to built surroundings affecting health and well-being.
38994689,policies,Yes,['socioenvironmental_neighborhood'],The MAC-4-BSD intervention includes the following four steps: (1) Assessment of the assisted living physical environment and policies to facilitate meaningful activity;,Policies influence social environment and activity access
39576984,community life-space,Yes,['geographic_location'],Mobility trajectories and geospatial life space patterns reflect many aspects of cognitive and functional integrity and may be useful proxies of age-related cognitive decline.,Relates to spatial aspects of community and mobility
39576984,geospatial life space,Yes,['geographic_location'],"Specifically, individuals with greater activity and more location diversity demonstrated better cognition, less functional impairment, less depression, more community participation, and more geospatial life space on objective and subjective validation measures.",Relates to spatial extent of an individual's life
39497306,living alone,Yes,['socioenvironmental_neighborhood'],"Women, Hispanics, those living alone, and more educated individuals were found to have higher odds of asymptomatic ADNP.",Living alone is a social determinant influencing health outcomes.
39166357,extreme heat days,Yes,"['physical_environment', 'problems_related_to_physical_environment']",Our results demonstrated that extreme heat days were associated with fluid but not crystallized intelligence scores.,Extreme heat is an environmental hazard affecting cognition.
39166357,extreme heat,Yes,"['physical_environment', 'problems_related_to_physical_environment']","This study further estimated interactions of extreme heat with protective/risk factors for cognition (i.e., education, physical activity, social engagement, and genetic risk for Alzheimer's disease).",Extreme heat is a physical environmental factor affecting cognition.
39143006,familiar environment,Yes,['socioenvironmental_neighborhood'],"Preferences for AIP were driven by (1) desire to preserve independence, (2) a sense that the ""best care"" is delivered by loved ones and in a familiar environment, (3) distrust and fear of care facilities, and (4) caregiver guilt.",Relates to social conditions influencing health and well-being.
39143006,care facilities,Yes,['socioenvironmental_neighborhood'],"Preferences for AIP were driven by (1) desire to preserve independence, (2) a sense that the ""best care"" is delivered by loved ones and in a familiar environment, (3) distrust and fear of care facilities, and (4) caregiver guilt.",Relates to social conditions influencing care decisions
39143006,home,Yes,['geographic_location'],"Many decisions to move were reactive and triggered by patient safety events, physical dependency, or the loss of caregiver.",Refers to the physical location of residence.
39143006,major home adaptations,Yes,['problems_related_to_physical_environment'],"Proactive decision-making was facilitated by (1) prior experience witnessing the challenges of caring for a person with advanced dementia in the home; and (2) having substantial financial resources such that participants could seek major home adaptations or avoid ""lower quality"" institutions.",Modifying home to adapt to dementia needs
39463255,neighbourhood socioeconomic position,Yes,['socioenvironmental_neighborhood'],"The population most vulnerable to heat included older adults (≥75 years), unmarried individuals, people with a low education level, older women with low neighbourhood socioeconomic position, and men under 75 years old with low socioeconomic position.",Relates to social determinants and neighborhood conditions.
39140428,community-level lifestyle intervention,No,[],"To address the limited practice and availability of AD risk reduction interventions, this study aimed to explore the feasibility of a community-level lifestyle intervention targeting high-risk groups.",Not related to Neighborhood factor
39140428,"Richmond, VA, local area",Yes,['geographic_location'],"Diverse older adults (60+) living in the Richmond, VA, local area, with the following risk factors, incomes below $12,000/year and managing diabetes or cardiovascular disease, were offered weekly lifestyle telephone health coaching for 12 weeks in 2019-2020 (intervention group).",Entity refers to a specific geographic location.
39038839,geographic contexts,Yes,['geographic_location'],"(5) geographic contexts, (6) monetary value of unpaid ADRD care, and (7) spousal relations for couples living with ADRD.",Refers to the impact of location on ADRD costs.
38590188,community elder care beds,Yes,['socioenvironmental_neighborhood'],"To alleviate undue ADRD concerns, it suggests expanding respite care and community elder care beds, and initiating education programs on reducing unnecessary worries about developing ADRD.",Related to social support and community resources
38590188,caregiver burden,No,[],"Analyzing data from 300 family caregivers of older adults with cognitive impairment in China, this study found caregiver burden was positively associated with the perceived threat of ADRD, and this association was buffered by higher family income and longer caregiving time.",Not related to Neighborhood factor
38590188,family income,No,['Undefined'],"Analyzing data from 300 family caregivers of older adults with cognitive impairment in China, this study found caregiver burden was positively associated with the perceived threat of ADRD, and this association was buffered by higher family income and longer caregiving time.",Not related to Neighborhood factor
37622436,Gini index for disposable income,Yes,['socioenvironmental_neighborhood'],"The probability of ADw/oD with moderate AD brain pathology was inversely associated with the Gini index for disposable income, poverty rate, and certain public expenditures on healthcare.",Relates to social conditions influencing health equity
37622436,poverty rate,Yes,['socioenvironmental_neighborhood'],"The probability of ADw/oD with moderate AD brain pathology was inversely associated with the Gini index for disposable income, poverty rate, and certain public expenditures on healthcare.",Poverty rate reflects social and economic conditions.
37622436,public expenditures on healthcare,Yes,['socioenvironmental_neighborhood'],"The probability of ADw/oD with moderate AD brain pathology was inversely associated with the Gini index for disposable income, poverty rate, and certain public expenditures on healthcare.",Relates to social conditions influencing health outcomes
37622436,public expenditures for long-term care,Yes,['socioenvironmental_neighborhood'],ADw/oD with advanced AD brain pathology was only associated with public expenditures for long-term care.,Relates to social policies and healthcare expenditure.
38642322,residence,Yes,['geographic_location'],"13 factors (gender, education, marital status, residence, diabetes, hypertension, depression, hearing impairment, social isolation, physical activity, drinking status, body mass index and expenditure) were finally selected as predictors.",Residence relates to geographic location of individuals.
34127171,social isolation,No,['Undefined'],"In a logistic regression model adjusted for age, education, sex, and race, both smaller network size (odds ratio [OR] = 0.975; 95% confidence interval [CI]: 0.962, 0.989) and higher loneliness (OR = 1.145; 95% CI: 1.060, 1.237) were associated with higher likelihood of dementia.",Not related to neighborhood factors
34127171,emotional isolation,No,['Undefined'],"In a logistic regression model adjusted for age, education, sex, and race, both smaller network size (odds ratio [OR] = 0.975; 95% confidence interval [CI]: 0.962, 0.989) and higher loneliness (OR = 1.145; 95% CI: 1.060, 1.237) were associated with higher likelihood of dementia.",Not related to neighborhood factors
34127171,social network size,No,['Undefined'],"In a logistic regression model adjusted for age, education, sex, and race, both smaller network size (odds ratio [OR] = 0.975; 95% confidence interval [CI]: 0.962, 0.989) and higher loneliness (OR = 1.145; 95% CI: 1.060, 1.237) were associated with higher likelihood of dementia.",Not related to neighborhood factors
34127171,loneliness,No,['Undefined'],"In a logistic regression model adjusted for age, education, sex, and race, both smaller network size (odds ratio [OR] = 0.975; 95% confidence interval [CI]: 0.962, 0.989) and higher loneliness (OR = 1.145; 95% CI: 1.060, 1.237) were associated with higher likelihood of dementia.",Loneliness is not a neighborhood factor.
38860660,religion,Yes,['socioenvironmental_neighborhood'],"Conversely, higher levels of depressive symptoms and participation in religious activities were linked to increased odds of cognitive impairment.",Religion is a social determinant influencing health outcomes.
38860660,social engagement,No,[],"Limited evidence suggests that high rates of ADRD among Indigenous peoples are associated with social determinants of health (SDOH), such as education, income, health literacy, religion, and social engagement.","Not a neighborhood factor, SDOH variable."
38754136,Socially Vulnerable Areas,Yes,"['geographic_location', 'socioenvironmental_neighborhood']","Medicare fee-for-service beneficiaries residing in SVI Q4 (i.e., the most vulnerable areas) reported significantly higher total Medicare costs and were least likely to be treated in hospitals that provided telehealth post-discharge services or have ACO affiliation.",Refers to areas with social and environmental vulnerability.
38754136,SVI Q4,Yes,"['geographic_location', 'socioenvironmental_neighborhood']","The GLM regression results showed that hospital telehealth post-discharge infrastructure, patient ACO affiliation, SVI Q4, and ADRD were significantly associated with higher Medicare payments.","SVI Q4 refers to socially vulnerable areas, indicating neighborhood disadvantage."
38754136,telehealth post-discharge and ACO,No,['Undefined'],"The average interaction effect of telehealth post-discharge and ACO, SVI Q4, and ADRD on Medicare payment was -$1,766.2 (95% confidence interval: -$2,576.4 to -$976).",Not related to Neighborhood factor
38772526,aged care facilities,Yes,['geographic_location'],To explore the feasibility of deploying robot-led activities for people with dementia living in aged care facilities.,Entity refers to a specific location where people reside.
38772526,robot-led activities,No,['Undefined'],Using human-like robots to independently lead interactive activities for people with dementia at aged care facilities is feasible and acceptable.,Entity is not related to Neighborhood factors
35077270,rural,Yes,['geographic_location'],The rural sample showed a disadvantage in the Spatial Reasoning and Cognitive Flexibility abilities.,Rural refers to a geographic location or area.
35077270,urban,Yes,['geographic_location'],The rural sample showed a disadvantage in the Spatial Reasoning and Cognitive Flexibility abilities.,Urban is a geographic location descriptor.
38872204,social activities,No,[],"The multidomain intervention comprises a combination of 7 lifestyle components (physical activity, cognitive training, cardiovascular risk factor management, nutritional counseling, sleep counseling, stress management, and social activities) and 1 nutritional product (Souvenaid®) that could help maintain cognitive functioning.",Not related to Neighborhood factor
38872204,low social engagement,No,[],"Modifiable risk factors commonly present at baseline were physical inactivity (89%), low mental/cognitive activity (50%), low social engagement (39%), hypertension (39%) and high alcohol consumption (39%).","Not a neighborhood factor, relates to individual social engagement."
38127408,rural,Yes,['geographic_location'],"Consequently, the disproportionately high risk and prevalence of Alzheimer's disease and related dementias (ADRD) among rural and minoritized older residents will likely increase.",Describes a geographic area associated with ADRD prevalence.
