PMID,factor_relevance,entity,category,source_sentence,explanation
37647340,No,Alzheimer's disease (AD),AD/ADRD,"Individuals over the age of 50 (n = 102; age range 50-85) completed surveys about their digital and analog approaches to daily tasks, physical activity, and SCD. Participants with and without family histories of AD were matched on age, education, sex, and family history of AD using the R package MatchIt.",Study context involves Alzheimer's disease family history.
37647340,No,subjective cognitive decline (SCD),AD/ADRD,"The current study examined whether greater use of technology to help with daily tasks is associated with less subjective cognitive decline (SCD), especially in individuals with a family history of Alzheimer's disease (AD).",Primary outcome measure related to cognitive decline.
40587504,No,Alzheimer's Disease and Related Dementias (ADRD),AD/ADRD,Residents with family members suffering from Alzheimer's Disease and Related Dementias (ADRD) have lower DAS scores than those without such family members.,Direct mention of ADRD in the context of family history impact.
40515617,No,,,,
40332047,No,,,,
39969227,No,,,,
40466093,No,,,,
40457220,No,alcohol consumption,Food,"alcohol consumption, life satisfaction, depressive symptoms, and education level are key factors influencing the risk of MCI among older adults with functional disability.",Alcohol is a dietary factor linked to cognitive health.
40456118,No,,,,
40545557,No,Alzheimer's disease and related dementias (ADRD),AD/ADRD,"Elucidating barriers and facilitators to research participation is especially important in Asian American, Native Hawaiian, and Pacific Islander (AANHPI) populations, who are significantly underrepresented in Alzheimer's disease and related dementias (ADRD) research.",Mentions ADRD as the focus of underrepresentation in research.
40545557,No,"Asian American, Native Hawaiian, and Pacific Islander (AANHPI)",AD/ADRD,"Elucidating barriers and facilitators to research participation is especially important in Asian American, Native Hawaiian, and Pacific Islander (AANHPI) populations, who are significantly underrepresented in Alzheimer's disease and related dementias (ADRD) research.",Identifies a population group relevant to ADRD research.
40524437,No,,,,
40432270,No,,,,
40340427,No,,,,
40320775,No,,,,
40298273,No,behavioral variant frontotemporal dementia,AD/ADRD,"Based on this individual's clinical presentation, reported history, and neuroimaging findings, we concluded that his condition was most consistent with a diagnosis of behavioral variant frontotemporal dementia (bvFTD), rather than another psychiatric diagnosis.",Diagnosis of a dementia subtype.
40298273,No,frontotemporal dementia,AD/ADRD,"This case illustrates the importance of differentiating between bvFTD and other psychiatric disorders, as well as the need for further studies to improve clinicians' ability to do so at earlier stages.",Mention of a dementia-related condition.
40267299,No,,,,
40261356,No,dementia,AD/ADRD,BackgroundPopulation ageing in Africa will increase the burden of Alzheimer's disease and related dementias within the next few decades.,Primary focus of the study on ADRD burden.
40261356,No,dementia genetics,AD/ADRD,"Twenty-one participants were aware of the existence of genetic risk factors for dementia, but none could name a dementia risk gene.",Mentions genetic risk factors for dementia.
40261292,No,,,,
40249666,No,abnormal eating behavior,AD/ADRD,"behavioral changes (ie, abnormal eating behavior and disinhibition) suggested a diagnosis of FTLD.","Describes a behavioral symptom of the disease, not a food factor."
40107929,No,Alzheimer's disease dementia (AD),AD/ADRD,"This study identifies neuropsychiatric syndromes and investigates their relationship with neuroimaging in Alzheimer's disease dementia (AD), dementia with Lewy bodies (DLB), and mild cognitive impairment (MCI).",Study focuses on AD as a primary condition.
40107929,No,dementia with Lewy bodies (DLB),AD/ADRD,"This study identifies neuropsychiatric syndromes and investigates their relationship with neuroimaging in Alzheimer's disease dementia (AD), dementia with Lewy bodies (DLB), and mild cognitive impairment (MCI).",DLB is a related dementia condition studied.
40107929,No,mild cognitive impairment (MCI),AD/ADRD,"This study identifies neuropsychiatric syndromes and investigates their relationship with neuroimaging in Alzheimer's disease dementia (AD), dementia with Lewy bodies (DLB), and mild cognitive impairment (MCI).",MCI is a precursor condition to ADRD.
40082178,Yes,nutrition,Food,Limited evidence suggests that better nutrition is associated with favourable AD plasma biomarker profiles...,Nutrition is a Food factor linked to AD biomarkers.
40082178,Yes,Alzheimer's disease (AD),ADRD,"Alzheimer's disease (AD) is a neurodegenerative disorder characterised by amyloid-β (Aβ), tau hyperphosphorylation and neurodegeneration.",Alzheimer's disease is the primary focus of the study.
40072737,No,Alzheimer's disease and related dementias (ADRD),ADRD,Alzheimer's disease and related dementias (ADRD) disproportionately impact Latinos in the US.,Study focuses on ADRD disparities in Latinos.
40072737,No,protective behaviors,ADRD,Interventions that promote engagement in established protective behaviors throughout the life course may offer an opportunity to address disparities.,General reference to protective behaviors for ADRD.
39949308,No,,,,
39922446,No,Alzheimer's disease (AD),AD/ADRD,Our study included 1472 participants [...] who were diagnosed with MCI or mild AD and completed the Neuropsychiatric Inventory at their baseline visit.,Study focuses on AD diagnosis and progression.
39922446,No,mild cognitive impairment (MCI),AD/ADRD,Our study included 1472 participants [...] who were diagnosed with MCI or mild AD and completed the Neuropsychiatric Inventory at their baseline visit.,MCI is a precursor to ADRD studied in the paper.
39720972,No,,,,
39589019,No,Alzheimer's disease and related dementias (ADRD),AD/ADRD,Black people in the United States (US) experience an increased risk of being diagnosed with Alzheimer's disease and related dementias (ADRD).,Study focuses on ADRD risk factors in Black populations.
39562850,No,,,,
38668780,No,diagnosed ADRD,ADRD,Diagnosed ADRD was determined using ICD-9 (290/294/331/797) or ICD-10 (F01/F03/G30/G31) billing codes created from self-reports during MEPS household interviews.,Entity refers to the clinical diagnosis of ADRD.
40262071,No,,,,
40705698,No,,,,
40415129,No,Alzheimer's disease (AD),AD/ADRD,Early detection of Alzheimer's disease (AD) is vital in effectively implementing and promoting healthcare planning.,"Study focuses on public knowledge of AD, not food-related factors."
40413042,No,Alzheimer's Disease and Related Dementias (ADRD),AD/ADRD,Planning Ahead is a randomised controlled trial to test the effectiveness of facilitated ACP in community-dwelling older adults including those with normal cognition and those with Alzheimer's Disease and Related Dementias (ADRD) who are at high risk of death.,Explicit mention of ADRD as a participant inclusion criterion.
40469616,No,Mild Cognitive Impairment (MCI),AD/ADRD,"This study aimed to determine the prevalence of Mild Cognitive Impairment (MCI) and dementia in middle-aged and older adults from northern Peru, as well as identify possible associated risk factors.",MCI is a recognized precursor to dementia and part of ADRD spectrum.
40469616,No,dementia,AD/ADRD,"Factors such as education, socioeconomic status, and limited public health interventions contribute to the development of Alzheimer's disease and other dementias.",Dementia is a core outcome in ADRD research.
40209131,No,,,,
40203226,No,Hyaline arteriolosclerosis,ADRD,"Moderate, heavy, and former heavy alcohol consumptions were associated with hyaline arteriolosclerosis and neurofibrillary tangles.",Neuropathologic marker linked to alcohol consumption.
40203226,No,Neurofibrillary tangles,ADRD,"Moderate, heavy, and former heavy alcohol consumptions were associated with hyaline arteriolosclerosis and neurofibrillary tangles.",ADRD pathology associated with alcohol consumption.
40203226,No,Alcohol consumption,Food,"Moderate, heavy, and former heavy alcohol consumptions were associated with hyaline arteriolosclerosis and neurofibrillary tangles.",Substance use behavior categorized under Food factors.
40431348,Yes,high-glycemic and comfort foods,Food,"During menopause, mood and sleep disturbances can influence dietary behavior, leading to enhanced snacking and consumption of high-glycemic and comfort foods. Such foods, low in nutritional value, promote weight gain and elevated inflammatory markers.","Dietary habits linked to inflammation, a risk factor for AD."
40431348,Yes,Western diet pattern,Food,Their consumption combined (or not) with a preexisting Western diet pattern-already linked to inflammation-could reinforce systemic inflammation involving the gut-brain axis.,Diet pattern associated with inflammation and neurodegenerative risks.
40431348,Yes,Alzheimer's disease (AD),AD/ADRD,"Diseases such as ... Alzheimer's disease (AD) ... may be influenced by hormonal transitions, particularly during menopause.",Neurodegenerative condition explicitly mentioned in the abstract.
40431348,Yes,neurodegenerative changes,AD/ADRD,"Peripheral inflammation may cross the blood-brain barrier, sustaining mood disorders and promoting neurodegenerative changes.",Outcome linked to systemic inflammation and dietary factors.
40324770,No,Alzheimer disease (AD),AD/ADRD,"Alzheimer disease (AD) is the leading type of dementia, demanding comprehensive understanding and intervention strategies.",Directly refers to the primary condition studied.
40324770,No,AD/ADRD,AD/ADRD,"In the United States, where over 6 million people are impacted, the prevalence of AD and related dementias (AD/ADRD) presents a growing public health challenge.",Defines the broader scope of the study.
40442881,Yes,high polyphenol snacks,Food,"We report the feasibility and cognitive outcomes of a stage 1b randomized trial testing 3 months of home-delivered high polyphenol snacks (e.g., nuts, berries) and online speed of processing training among older adults with 12 or fewer years of education.",Polyphenol-rich diet intervention tested for cognitive outcomes.
40442881,Yes,cognitive composite score,AD/ADRD,"The outcomes were feasibility of recruitment, retention, and adherence (RRA) and change in a cognitive composite score.",Cognitive measure used to assess dementia risk outcomes.
40407095,No,Alzheimer's disease and related dementias (ADRD),AD/ADRD,"The Alzheimer's Disease Research Centers (ADRCs) consortium represents a critical locus of research on Alzheimer's disease and related disorders (ADRD) prevention, diagnosis, and intervention.","Study focuses on SDOH, not food factors."
40404275,No,,,,
40371732,No,dementia with Lewy bodies (DLB),ADRD,"Dementia with Lewy bodies (DLB) is inadequately diagnosed and treated, which negatively influences patient outcomes.",Primary condition studied in the abstract.
40331508,No,Alzheimer's disease,AD/ADRD,"Amyloid beta (Aβ) can be detected in vivo years before Alzheimer's disease (AD) symptom onset and, according to recent criteria, is sufficient for a biological diagnosis.",Directly refers to the disease under study.
40331508,No,amyloid beta (Aβ) status,AD/ADRD,This study evaluates emotional responses to Aβ status disclosure in cognitively normal individuals.,Key biomarker associated with ADRD risk.
40304268,No,Alzheimer's disease (AD),AD/ADRD,Evidence suggests that midlife physical activity may reduce Alzheimer's disease (AD) risk.,Study outcome related to AD risk reduction.
40304268,No,amyloid burden,AD/ADRD,Becoming adherent to recommendations was linked to lower amyloid burden compared to becoming non-adherent.,AD-related pathology measured in the study.
40304268,No,cortical thickness,AD/ADRD,Remaining sedentary was associated with lower cortical thickness compared to doing limited physical activity...,Brain structure indicator for AD vulnerability.
40245823,No,,,,
40232259,Yes,composite score for healthy diet,Food,"Nutrition was assessed using a composite score, comprising 11 components covered by national recommendations for a healthy diet (range = 0-11 points).",Represents dietary patterns linked to dementia risk.
40232259,Yes,increased dementia risk,AD/ADRD,"We used baseline-data of the AgeWell.de-trial (n = 1001, %<sub>female </sub>= 52.2, M<sub>age </sub>= 69.0, SD = 4.9).",Study population with elevated dementia risk.
40116688,No,,,,
40084665,No,,,,
40055039,Yes,aMED (alternate Mediterranean diet),Food,"Higher aMED score was associated with a lower risk of AD mortality (HR<sub>T3</sub><sub>vs T1</sub>: 0.72, 95 % CI, 0.52-1.00, p-trend = 0.041).",dietary pattern linked to lower AD mortality risk
40055039,Yes,MIND (Mediterranean-DASH Intervention for Neurodegeneration Delay diet),Food,"Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",dietary pattern linked to reduced cognitive impairment
40055039,Yes,HEI-2015 (Healthy Eating Index),Food,"Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",dietary index linked to cognitive outcomes
40055039,Yes,hPDI (healthful plant-based diet index),Food,"Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",plant-based diet index linked to cognitive outcomes
40055039,Yes,Alzheimer's disease mortality (AD mortality),AD/ADRD,"Higher aMED score was associated with a lower risk of AD mortality (HR<sub>T3</sub><sub>vs T1</sub>: 0.72, 95 % CI, 0.52-1.00, p-trend = 0.041).",outcome measure for ADRD impact
40055039,Yes,prevalent psychometric mild cognitive impairment (p-MCI),AD/ADRD,"432 individuals had prevalent psychometric mild cognitive impairment (p-MCI). Higher aMED, MIND, HEI-2015, and hPDI were associated with lower odds of p-MCI.",early cognitive decline indicator
39878054,No,,,,
39786627,No,Lewy body disease,AD/ADRD,To investigate the clinical impact of mild behavioral impairment (MBI) in a predefined cohort with Lewy body disease (LBD) continuum.,Lewy body disease is a type of dementia related to ADRD.
39786627,No,mild cognitive impairment,AD/ADRD,"Participants were classified into 19 cognitively normal (CN), 45 mild cognitive impairment (MCI), and 20 dementia groups.",MCI is a precursor to dementia and part of the ADRD spectrum.
39786627,No,dementia,AD/ADRD,"Participants were classified into 19 cognitively normal (CN), 45 mild cognitive impairment (MCI), and 20 dementia groups.",Dementia is a core outcome in ADRD studies.
39630270,No,,,,
39547823,No,dementia,ADRD,Vietnam faces an unprecedented increase in people living with dementia but lacks evidence-based family dementia caregiver interventions.,Study focuses on dementia caregiving outcomes.
39547823,No,dementia caregiver intervention,ADRD,We tested the efficacy of a culturally adapted family caregiver intervention (REACH VN) in Northern Vietnam.,Intervention targets dementia caregiver support.
39477251,No,,,,
39349155,No,Alzheimer's disease,AD/ADRD,"Neuropsychiatric symptoms, such as depression and anxiety, are observed in 90% of patients with Alzheimer's disease (AD), two-thirds of whom are women.","Study focus on AD, not Food impact."
39349155,No,dementia,AD/ADRD,"In the Alzheimer's Disease Neuroimaging Initiative dataset, anxiety predicted transition to dementia.",Dementia outcome in AD context.
39180168,No,Mild Cognitive Impairment (MCI),AD/ADRD,"In the multinomial regression, the interaction between CR and depression predicted conversion to MCI status, indicating that lower CR paired with more severe depression at baseline was associated with a higher risk of subsequent impairment.",MCI is a precursor to ADRD and a key outcome in dementia research.
39180168,No,Executive Function (EF),AD/ADRD,"The current study examined the longitudinal relationship between cognitive reserve (CR), depression, and executive function (EF) in a cohort of older adults.",EF decline is a core feature of ADRD progression.
40305830,No,,,,
40294408,No,Alzheimer disease (AD),AD/ADRD,"We identified lower total dwell times in participants with AD (26/257, 10.1%) versus withheld HCs (156/257, 60.7%; odds ratio 0.95, 95% CI 0.92-0.97; false discovery rate [FDR]-corrected P<.001), as well as in participants with memory complaints (57/257, 22.2%; odds ratio 0.97, 95% CI 0.96-0.99; FDR-corrected P=.004).",Mentions Alzheimer disease as a clinical group studied.
40294408,No,memory complaints,AD/ADRD,"We identified lower total dwell times in participants with AD (26/257, 10.1%) versus withheld HCs (156/257, 60.7%; odds ratio 0.95, 95% CI 0.92-0.97; false discovery rate [FDR]-corrected P<.001), as well as in participants with memory complaints (57/257, 22.2%; odds ratio 0.97, 95% CI 0.96-0.99; FDR-corrected P=.004).",Refers to memory-related clinical symptoms.
38916196,No,Alzheimer's Disease (AD),AD/ADRD,"This project aims to determine the known-group discriminant validity of a cultural and linguistic adaptation of the mini-SEA between cognitively healthy people, those with mild cognitive impairment (MCI) or living with Alzheimer's Disease (AD).",Study population includes individuals with AD.
38916196,No,mild cognitive impairment (MCI),AD/ADRD,"This project aims to determine the known-group discriminant validity of a cultural and linguistic adaptation of the mini-SEA between cognitively healthy people, those with mild cognitive impairment (MCI) or living with Alzheimer's Disease (AD).",Study population includes individuals with MCI.
40264239,No,Resilience Index (RI),Food,"We studied DNAm changes associated with the Resilience Index (RI), a composite measure of lifestyle factors, using blood samples from the Healthy Brain Initiative (HBI) cohort.",RI is a composite lifestyle measure but not explicitly linked to food factors.
40264239,No,Alzheimer's disease (AD),AD/ADRD,"Our findings are particularly relevant for a better understanding of epigenetic architecture underlying cognitive resilience. Importantly, the significant association between baseline MRS and future cognitive decline demonstrated that DNAm could be a predictive marker for AD, laying the foundation for future studies on personalized AD prevention.",Directly references Alzheimer's disease as the study outcome.
40163795,No,,,,
40138617,No,Social Vulnerability Index (SVI),Food,The primary study objective was to examine the association between Social Vulnerability index (SVI) and risk of incident Alzheimer disease (AD) and rate of cognitive decline.,SVI includes socioeconomic factors but not explicit food-related components.
40138617,No,Alzheimer disease (AD),AD/ADRD,The primary study objective was to examine the association between Social Vulnerability index (SVI) and risk of incident Alzheimer disease (AD) and rate of cognitive decline.,Primary outcome of the study on cognitive decline.
40313499,No,,,,
40250879,No,Alzheimer's disease and other related dementias,ADRD,The following study will use a previously informatics-generated list of participants who have a lower risk of developing Alzheimer's disease and other related dementias.,Primary outcome of the study.
40217501,No,Alzheimer's disease (AD),AD/ADRD,"Adults with Down syndrome (DS) have a 90% lifetime risk for Alzheimer's disease (AD), with neurobiological pathology present decades prior to dementia onset.",Mentions AD as the primary focus of the study.
40217501,No,Behavioral and Psychological Symptoms of Dementia (BPSD),AD/ADRD,"However, there is a small body of research on whether Behavioral and Psychological Symptoms of Dementia (BPSD) occur early on in the progression of AD in DS and are associated with early AD pathology (i.e., amyloid-beta [Aβ] and neurofibrillary tau tangles [NFT]).",Describes symptoms associated with dementia progression.
40217501,No,amyloid-beta [Aβ],AD/ADRD,"Higher baseline Aβ and NFT were associated with higher RSMB Avoidant at baseline, and increases in RSMB Depression-Physical and Psychosis over time.",Biomarker linked to AD pathology.
40217501,No,neurofibrillary tau tangles [NFT],AD/ADRD,"Higher baseline Aβ and NFT were associated with higher RSMB Avoidant at baseline, and increases in RSMB Depression-Physical and Psychosis over time.",Biomarker linked to AD pathology.
40200452,No,Alzheimer's disease and related dementias (ADRD),AD/ADRD,"In a U.S. sample of 572 family caregivers of a person with Alzheimer's disease and related dementias (ADRD), our application of the J48 algorithm (C4.5) revealed an interesting trend.",The study explicitly mentions ADRD as the condition under investigation.
40244274,No,,,,
40346835,No,,,,
40277074,No,,,,
40249614,No,,,,
40189848,No,,,,
40189829,No,Alzheimer's disease and related dementias (ADRD),AD/ADRD,We investigated the association of neighborhood disadvantage with the incidence of Alzheimer's disease and related dementias (ADRD) in the longitudinal Black Women's Health Study (BWHS).,Study outcome variable for dementia risk assessment.
40148225,No,environmental needs,AD/ADRD,Factors such as increased medication use (OR = 1.10 [95%CI 1.02 to 1.19]) and loneliness (OR = 2.51 [95%CI 1.44 to 4.36]) were associated with a higher likelihood of unmet environmental needs.,Environmental needs relate to dementia care domains.
40148225,No,physical needs,AD/ADRD,"The absence of a caregiver (OR = 2.81 [95%CI 1.03 to 7.64]), lower social support (OR = 1.71 [95%CI 1.02 to 2.84]), and poor physical health (OR = 8.40 [95%CI 3.39 to 20.81]) correlated with unmet physical needs.",Physical needs are a key domain in dementia care.
40148225,No,psychological needs,AD/ADRD,"Depression (OR = 2.13 [95%CI 1.10 to 4.08]), living alone (OR = 1.73 [95%CI 1.04 to 2.86]) and poor physical health (OR = 2.82 [95%CI 1.15 to 6.93]) significantly increased the risk of unmet psychological needs.",Psychological needs are central to dementia care.
40148225,No,social needs,AD/ADRD,Social needs are more likely to be unmet in females (OR = 1.88 [95%CI 1.05 to 3.37]).,Social needs are a critical aspect of dementia care.
40072379,No,,,,
40025716,No,,,,
40019132,No,,,,
40007109,No,,,,
39916679,No,Alzheimer's disease,ADRD,modulate brain resistance and cognitive resilience to Alzheimer's disease and age-related brain changes.,Alzheimer's disease is a primary focus of the study on cognitive decline.
39916679,No,cognitive aging,ADRD,This review focuses on the role of psychological factors in cognitive aging and dementia,Cognitive aging is a key outcome linked to dementia risk.
39889875,No,,,,
39709278,No,Alzheimer's disease,AD/ADRD,The new antiamyloid medications Lecanemab (Leqembi) and donanemab (Kisunla) are the first disease-modifying treatments for Alzheimer's disease (AD) to receive full FDA approval.,Directly refers to the disease under study.
39709278,No,home-based care,AD/ADRD,This study assessed the perceived value of these medications by asking caregivers of persons with AD to compare them to a widely used intervention in AD management: home-based care.,Describes a non-pharmacological intervention for AD management.
39571734,No,,,,
39558706,No,,,,
39494682,No,Alzheimer's disease and related dementias (ADRD),AD/ADRD,Korean-American primary family caregivers of individuals with Alzheimer's disease and related dementias (ADRD) may face unique stress...,Study focus on ADRD caregiving context.
39494682,No,ADRD,AD/ADRD,Our findings highlight the nuances of stress among Korean-American ADRD family caregivers.,Direct reference to ADRD caregiving population.
39390793,No,Alzheimer's disease,AD/ADRD,"The present study examined the existence of posttraumatic growth (PTG) and its association with cognitive processing, resilience, and family functioning in family caregivers of patients with Alzheimer's disease (AD).",Directly refers to the disease under study.
39390793,No,severity of the patient's AD,AD/ADRD,"Race, education level, severity of the patient's AD, cognitive processing, resilience, and family functioning explained 25.8% of the variance in PTG (F [9, 95] = 5.025, p < 0.001).",Indicates disease progression as a variable.
39367595,No,,,,
39244503,No,,,,
38273182,No,,,,
40283750,No,episodic memory,AD/ADRD,"Overall, PCEs were positively associated with memory intercept and change.",Cognitive outcome linked to ADRD.
40283750,No,hippocampal volume,AD/ADRD,PCEs were not associated with hippocampal volume or amyloid burden in the combined sample or across individual ethnocultural groups.,Neuroimaging biomarker for ADRD.
40283750,No,amyloid burden,AD/ADRD,PCEs were not associated with hippocampal volume or amyloid burden in the combined sample or across individual ethnocultural groups.,Pathological biomarker for ADRD.
39878947,No,dementia,ADRD,People living with dementia experience progressive functional decline and increased dependence on caregivers.,Directly refers to the condition under study.
39878947,No,Alzheimer's Disease Centers,ADRD,"This analysis used data from a cross-sectional survey, 'Care Planning for Individuals with Dementia,' administered nationwide by Alzheimer's Disease Centers.",Institutional context related to ADRD research.
39878947,No,people living with dementia,ADRD,"These findings are important because evidence suggests that ACP may promote quality of life... among people living with dementia, caregivers, and healthcare clinicians.",Population directly affected by ADRD.
40108701,No,Alzheimer's disease,AD/ADRD,"The amygdala plays a role in behavior and emotional response and is vulnerable to Alzheimer's disease (AD) pathology, yet little is known about amygdala tau accumulation before clinical symptom onset.",Primary focus of the study on ADRD pathology.
40108701,No,amygdala tau accumulation,AD/ADRD,"We examined group differences in amygdala tau levels (whole amygdala, lateral nucleus and basal nucleus) and analyzed tau associations with disease markers and clinical measures.",Key pathology linked to ADRD progression.
40074931,No,,,,
40065204,No,dementia,ADRD,"Dementia is a group of chronic diseases characterised by cognitive impairment that progressively disrupts daily functioning and requires increasing levels of healthcare, social support, and long-term care.",Central focus of the study on dementia care barriers.
40065204,No,Alzheimer's,ADRD,This systematic review analysed the literature... on barriers in Alzheimer and other dementia healthcare system...,Specific reference to Alzheimer's disease in the study scope.
40045223,No,,,,
40042844,No,,,,
40123183,No,culinary arts,Food,"Participants were most interested in learning technology, English, sewing skills, and culinary arts to primarily improve their financial situation.",Culinary arts relate to food preparation and may influence dietary behaviors.
40123183,No,Alzheimer's disease and related dementias,AD/ADRD,"Engagement in learning new skills can potentially foster cognitive and functional growth among low-income Latinos, a population at high risk for developing Alzheimer's disease and related dementias.",Identifies the population's elevated risk for ADRD.
40110699,No,,,,
40110684,No,,,,
40096973,No,,,,
40086910,No,Alzheimer's disease,AD/ADRD,Mild to moderate AD patients with clinically significant apathy randomized to MPH (20 mg/day) or placebo for 6 months.,Study focuses on Alzheimer's disease as the primary condition.
40086910,No,Apathy,AD/ADRD,To assess whether changes in apathy correlated with changes in cognition in the Apathy in Dementia Methylphenidate Trial 2 (ADMET 2).,Apathy is a behavioral symptom studied in Alzheimer's disease.
40086910,No,Cognition,AD/ADRD,"Cognition was measured using the Mini-Mental State Exam (MMSE), Hopkins Verbal Learning (immediate [HVLT-I], delayed [HVLT-D] recall)...",Cognitive assessments are central to evaluating Alzheimer's disease progression.
40044393,Yes,healthy diet,Food,"We constructed the lifestyle score based on no current smoking, moderate alcohol consumption, regular physical activity, healthy diet, adequate sleep duration, less sedentary behavior, and frequent social contact.",Healthy diet is a Food factor included in the lifestyle score.
